,X,userLanguage,District,School.Attleboro,School.Boston,School.Lowell,School.Revere,School.Somerville,School.Winchester,StudentID,Grade,s.emsa.q1,s.emsa.q2,s.emsa.q3,s.tint.q1,s.tint.q2,s.tint.q3,s.tint.q4,s.tint.q5,s.acpr.q1,s.acpr.q2,s.acpr.q3,s.acpr.q4,s.cure.q1,s.cure.q2,s.cure.q3,s.cure.q4,s.sten.q1,s.sten.q2,s.sten.q3,s.sper.q1,s.sper.q2,s.sper.q3,s.sper.q4,s.civp.q1,s.civp.q2,s.civp.q3,s.civp.q4,s.grmi.q1,s.grmi.q2,s.grmi.q3,s.grmi.q4,s.appa.q1,s.appa.q2,s.appa.q3,s.peff.q1,s.peff.q2,s.peff.q3,s.peff.q4,s.peff.q5,s.peff.q6,s.sbel.q1,s.sbel.q2,s.sbel.q3,s.sbel.q4,s.sbel.q5,s.phys.q1,s.phys.q2,s.phys.q3,s.phys.q4,s.vale.q1,s.vale.q2,s.vale.q3,s.vale.q4,s.acst.q1,s.acst.q2,s.acst.q3,s.sust.q1,s.sust.q2,s.grit.q1,s.grit.q2,s.grit.q3,s.grit.q4,s.expa.q1,s.poaf.q1,s.poaf.q2,s.poaf.q3,s.poaf.q4,s.tint.q1,s.tint.q2,s.tint.q3,s.tint.q4,s.tint.q5,s.acpr.q1,s.acpr.q2,s.acpr.q3,s.acpr.q4,s.peff.q1,s.peff.q2,s.peff.q3,s.peff.q4,s.peff.q5,s.peff.q6,Q90,Q90_3_TEXT,Q91_1,Q91_2,Q91_3,Q91_4,Q91_5,Q91_6,Q91_7,Q91_7_TEXT,Q_Language
7621,7623,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EN
7622,7624,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EN
7803,7805,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46214621,4,3,5,4,5,2,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,NA,NA,NA,4,2,3,2,2,3,2,2,3,3,3,3,4,3,4,3,4,2,3,3,2,2,3,2,1,2,2,3,4,2,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,EN
7804,7806,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46484648,4,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,5,NA,NA,NA,NA,NA,NA,NA,3,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,4,4,4,3,4,4,5,4,4,4,3,5,5,4,5,5,5,4,5,4,4,3,4,2,5,4,4,5,3,5,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
7805,7807,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46564656,4,5,4,4,4,2,2,5,5,3,4,3,4,3,4,4,4,2,3,4,2,4,2,3,3,4,2,3,3,4,3,5,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,4,5,5,3,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,EN
7806,7808,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46464646,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,4,4,5,4,NA,NA,NA,NA,4,3,4,3,NA,NA,NA,NA,NA,NA,NA,4,5,5,5,4,5,2,3,2,4,4,5,5,4,4,5,4,5,5,4,2,3,3,2,4,5,5,4,4,3,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
7807,7809,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46224622,4,2,3,3,5,4,5,4,5,4,5,5,4,1,3,1,2,4,3,3,2,5,1,4,2,3,4,5,1,5,5,5,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,5,5,1,5,4,5,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
7808,7810,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46434643,4,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,5,3,3,4,3,4,5,5,4,3,4,3,4,4,4,5,4,4,4,2,1,4,4,3,1,5,5,5,5,4,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
7809,7811,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46444644,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,5,3,4,3,NA,NA,NA,NA,2,3,4,4,NA,NA,NA,NA,NA,NA,NA,5,4,4,4,4,5,4,4,4,4,3,5,4,4,5,4,3,4,4,4,4,4,2,5,4,4,2,4,1,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
7810,7812,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,65086508,4,NA,NA,NA,NA,NA,NA,NA,NA,4,5,2,5,NA,NA,NA,NA,NA,NA,NA,4,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,5,4,5,4,4,5,4,4,4,4,4,3,4,5,3,4,4,3,4,2,2,1,4,2,3,3,3,4,3,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
