Academic Year,School Name,DESE ID,K,1,2,3,4,5,6,7,8,9,10,11,12,Total
2024-25,Framingham High School Day Academy,1000555,,,,,,,,,,1,22,26,13,62
2024-25,Framingham High School Evening Academy,1000595,,,,,,,,,,1,5,13,25,44
2025-26,Framingham High School Day Academy,1000555,,,,,,,,,,1,22,26,13,62
2025-26,Framingham High School Evening Academy,1000595,,,,,,,,,,1,5,13,25,44
