School Code,School Name,Academic Year,PK-4 Pilot ,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,For Response  Rate,Notes
2920015,Swansea - Gardner,2022-23,,0,81,94,79,0,0,0,0,0,0,0,0,0,0,0,254,0,
2920505,Swansea - Joseph Case High,2022-23,,0,0,0,0,0,0,0,0,0,0,142,128,154,109,4,537,533,
2920305,Swansea - Joseph Case Jr High,2022-23,,0,0,0,0,0,0,0,174,149,175,0,0,0,0,0,498,498,
2920020,Swansea - Joseph G Luther,2022-23,,0,0,0,0,50,59,69,0,0,0,0,0,0,0,0,178,128,
2920017,Swansea - Mark G Hoyle Elementary,2022-23,,47,59,66,60,0,0,0,0,0,0,0,0,0,0,0,232,0,
7700405,Tantasqua - Tantasqua Regional Jr High,2022-23,,0,0,0,0,0,0,0,0,261,290,0,0,0,0,0,551,551,
7700505,Tantasqua - Tantasqua Regional Sr High,2022-23,,0,0,0,0,0,0,0,0,0,0,161,167,170,169,10,677,667,
7700605,Tantasqua - Tantasqua Regional Vocational,2022-23,,0,0,0,0,0,0,0,0,0,0,148,148,124,104,0,524,524,
2930315,Taunton - Benjamin Friedman Middle,2022-23,,0,0,0,0,0,0,236,239,255,0,0,0,0,0,0,730,730,
2930010,Taunton - East Taunton Elementary,2022-23,,17,114,112,92,98,100,0,0,0,0,0,0,0,0,0,533,100,
2930007,Taunton - Edmund Hatch Bennett,2022-23,,0,55,50,55,63,62,0,0,0,0,0,0,0,0,0,285,62,
2930005,Taunton - Edward F. Leddy Preschool,2022-23,,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,
2930027,Taunton - Elizabeth Pole,2022-23,,0,113,122,118,105,119,0,0,0,0,0,0,0,0,0,577,119,
2930057,Taunton - H H Galligan,2022-23,,0,64,47,50,48,50,0,0,0,0,0,0,0,0,0,259,50,
2930015,Taunton - James L. Mulcahey Elementary School,2022-23,,51,154,171,147,160,168,0,0,0,0,0,0,0,0,0,851,168,
2930305,Taunton - John F Parker Middle,2022-23,,0,0,0,0,0,0,159,160,175,0,0,0,0,0,0,494,494,
2930008,Taunton - Joseph C Chamberlain,2022-23,,17,76,89,77,96,98,0,0,0,0,0,0,0,0,0,453,98,
2930042,Taunton - Joseph H Martin,2022-23,,0,0,0,0,0,0,222,220,200,0,0,0,0,0,0,642,642,
2930525,Taunton - Taunton Alternative High School,2022-23,,0,0,0,0,0,0,0,0,0,0,0,0,33,36,0,69,69,
2930505,Taunton - Taunton High,2022-23,,0,0,0,0,0,0,0,0,0,664,540,536,514,497,9,2760,2751,
39020900,TEC Connections Academy Commonwealth Virtual School District - TEC Connections Academy Commonwealth Virtual School,2022-23,,0,68,70,72,89,107,148,164,232,271,449,443,422,405,0,2940,2641,
2950010,Tewksbury - Heath-Brook,2022-23,,0,139,94,99,0,0,0,0,0,0,0,0,0,0,0,332,0,
2950023,Tewksbury - John F. Ryan,2022-23,,0,0,0,0,0,0,238,272,0,0,0,0,0,0,0,510,510,
2950305,Tewksbury - John W. Wynn Middle,2022-23,,0,0,0,0,0,0,0,0,242,254,0,0,0,0,0,496,496,
2950001,Tewksbury - L F Dewing,2022-23,,159,155,141,157,0,0,0,0,0,0,0,0,0,0,0,612,0,
2950025,Tewksbury - Louise Davy Trahan,2022-23,,0,0,0,0,119,97,0,0,0,0,0,0,0,0,0,216,97,
2950020,Tewksbury - North Street,2022-23,,0,0,0,0,148,135,0,0,0,0,0,0,0,0,0,283,135,
2950505,Tewksbury - Tewksbury Memorial High,2022-23,,0,0,0,0,0,0,0,0,0,0,179,180,196,193,4,752,748,
2960005,Tisbury - Tisbury Elementary,2022-23,,8,31,34,39,31,32,30,25,22,20,0,0,0,0,0,272,129,
2980005,Topsfield - Proctor Elementary,2022-23,,0,0,0,0,0,83,87,89,0,0,0,0,0,0,0,259,259,
2980010,Topsfield - Steward Elementary,2022-23,,47,69,86,82,85,0,0,0,0,0,0,0,0,0,0,369,0,
8780605,Tri-County Regional Vocational Technical - Tri-County Regional Vocational Technical,2022-23,,0,0,0,0,0,0,0,0,0,0,273,236,233,215,0,957,957,
7730020,Triton - Newbury Elementary,2022-23,,57,60,57,56,52,52,44,34,0,0,0,0,0,0,0,412,130,
7730025,Triton - Pine Grove,2022-23,,35,63,69,42,58,46,57,62,0,0,0,0,0,0,0,432,165,
7730015,Triton - Salisbury Elementary,2022-23,,41,49,47,38,62,65,56,62,0,0,0,0,0,0,0,420,183,
7730505,Triton - Triton Regional High School,2022-23,,0,0,0,0,0,0,0,0,0,0,159,167,147,174,0,647,647,
7730405,Triton - Triton Regional Middle School,2022-23,,0,0,0,0,0,0,0,0,162,158,0,0,0,0,0,320,320,
3000005,Truro - Truro Central,2022-23,,22,10,17,10,13,13,14,0,0,0,0,0,0,0,0,99,27,
3010020,Tyngsborough - Tyngsborough Elementary,2022-23,,59,104,125,113,111,129,111,0,0,0,0,0,0,0,0,752,240,
3010505,Tyngsborough - Tyngsborough High School,2022-23,,0,0,0,0,0,0,0,0,0,0,117,98,90,109,0,414,414,
3010305,Tyngsborough - Tyngsborough Middle,2022-23,,0,0,0,0,0,0,0,150,117,133,0,0,0,0,0,400,400,
4800405,UP Academy Charter School of Boston (District) - UP Academy Charter School of Boston,2022-23,,0,0,0,0,0,0,0,61,73,79,0,0,0,0,0,213,213,
35050405,UP Academy Charter School of Dorchester (District) - UP Academy Charter School of Dorchester,2022-23,,56,62,66,67,67,73,74,60,46,44,0,0,0,0,0,615,297,
7740010,Up-Island Regional - Chilmark Elementary,2022-23,,0,18,13,12,8,12,7,0,0,0,0,0,0,0,0,70,19,
7740020,Up-Island Regional - West Tisbury Elementary,2022-23,,8,30,25,34,29,44,40,40,45,47,0,0,0,0,0,342,216,
8790605,Upper Cape Cod Regional Vocational Technical - Upper Cape Cod Vocational Technical,2022-23,,0,0,0,0,0,0,0,0,0,0,229,201,183,156,0,769,769,
3040515,Uxbridge - Gateway to College,2022-23,,0,0,0,0,0,0,0,0,0,0,0,8,11,19,0,38,38,
3040005,Uxbridge - Taft Early Learning Center,2022-23,,65,99,124,112,121,0,0,0,0,0,0,0,0,0,0,521,0,
3040505,Uxbridge - Uxbridge High,2022-23,,0,0,0,0,0,0,0,0,0,158,101,115,115,100,1,590,589,
3040405,Uxbridge - Whitin Intermediate,2022-23,,0,0,0,0,0,116,128,117,134,0,0,0,0,0,0,495,495,
4980405,Veritas Preparatory Charter School (District) - Veritas Preparatory Charter School,2022-23,,0,0,0,0,0,0,102,100,101,103,95,0,0,0,0,501,501,
7750310,Wachusett - Central Tree Middle,2022-23,,0,0,0,0,0,0,0,121,136,114,0,0,0,0,0,371,371,
7750315,Wachusett - Chocksett Middle School,2022-23,,0,0,0,0,0,0,66,62,84,67,0,0,0,0,0,279,279,
7750018,Wachusett - Davis Hill Elementary,2022-23,,0,66,74,81,69,84,73,0,0,0,0,0,0,0,0,447,157,
7750020,Wachusett - Dawson,2022-23,,0,86,92,78,75,91,77,0,0,0,0,0,0,0,0,499,168,
