Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,PK-2 (#),3-5 (#),6-8 (#),9-12 (#),Multiple Grades (#),All Grades (#),FTE Count
NA,NA,NA,2022-23,Boston - Boston International High School & Newcomers Academy,00350507,       0.0,            .0,            .0,          55.6,            .0,            .8,          56.4
NA,NA,NA,2022-23,Boston - Boston Latin Academy,00350545,       0.0,            .0,          31.2,          60.0,            .0,            .0,          91.2
NA,NA,NA,2022-23,Boston - Boston Latin School,00350560,       0.0,            .0,          43.3,          81.2,            .0,            .2,         124.7
NA,NA,NA,2022-23,Boston - Boston Teachers Union K-8 Pilot,00350012,       8.0,           4.4,          10.6,            .0,            .0,            .0,          23.0
NA,NA,NA,2022-23,Boston - Bradley Elementary School,00350215,      13.4,          10.0,           2.9,            .0,            .5,            .0,          26.8
NA,NA,NA,2022-23,Boston - Brighton High School,00350505,       0.0,            .0,           9.3,          46.7,            .0,           2.5,          58.5
NA,NA,NA,2022-23,Boston - Burke High School,00350525,       0.0,            .0,           7.7,          34.4,            .4,           2.0,          44.6
NA,NA,NA,2022-23,Boston - Carter School,00350036,       0.0,            .0,            .0,            .0,            .0,            .0,           0.0
NA,NA,NA,2022-23,Boston - Channing Elementary School,00350360,      13.2,           6.3,           1.4,            .0,            .0,            .0,          21.0
NA,NA,NA,2022-23,Boston - Charlestown High School,00350515,       0.0,            .0,          10.9,          60.4,            .0,           8.7,          80.0
NA,NA,NA,2022-23,Boston - Chittick Elementary School,00350154,      16.7,          12.1,           1.0,            .0,            .0,            .0,          29.8
NA,NA,NA,2022-23,Boston - Clap Elementary School,00350298,       6.4,           6.1,           2.0,            .0,            .0,            .0,          14.5
NA,NA,NA,2022-23,Boston - Community Academy,00350518,       0.0,            .0,            .0,          10.7,            .0,            .0,          10.7
NA,NA,NA,2022-23,Boston - Community Academy of Science and Health,00350581,       0.0,            .0,            .0,          30.1,            .0,           3.5,          33.6
NA,NA,NA,2022-23,Boston - Condon K-8 School,00350146,      23.6,          23.8,          19.5,            .0,            .0,            .0,          66.9
NA,NA,NA,2022-23,Boston - Conley Elementary School,00350122,       8.4,           7.1,           2.8,            .0,            .0,            .7,          19.0
NA,NA,NA,2022-23,Boston - Curley K-8 School,00350020,      34.2,          29.8,          31.5,            .0,            .0,            .1,          95.6
NA,NA,NA,2022-23,Boston - Dearborn 6-12 STEM Academy,00350074,       0.0,            .0,          21.0,          24.5,            .0,           1.0,          46.5
NA,NA,NA,2022-23,Boston - Dever Elementary School,00350268,      19.8,          16.8,           6.3,            .0,            .0,            .0,          43.0
NA,NA,NA,2022-23,Boston - East Boston Early Education Center,00350009,      14.1,            .0,            .0,            .0,            .0,            .0,          14.1
NA,NA,NA,2022-23,Boston - East Boston High School,00350530,       0.0,            .0,          20.1,          74.9,            .0,           1.2,          96.1
NA,NA,NA,2022-23,Boston - Edison K-8 School,00350375,      19.2,          21.7,          19.1,            .0,            .0,           3.9,          63.9
NA,NA,NA,2022-23,Boston - Eliot K-8 Innovation School,00350096,      19.9,          18.8,          18.2,            .0,            .0,            .0,          56.9
NA,NA,NA,2022-23,Boston - Ellis Elementary School,00350072,      20.0,          11.5,           2.3,            .0,            .0,           2.1,          35.8
NA,NA,NA,2022-23,Boston - Ellison-Parks Early Education School,00350008,      15.5,           3.5,            .0,            .0,            .0,            .0,          19.0
NA,NA,NA,2022-23,Boston - English High School,00350535,       0.0,            .0,           8.0,          48.7,            .0,           3.7,          60.4
NA,NA,NA,2022-23,Boston - Everett Elementary School,00350088,       9.4,           9.7,           2.9,            .0,            .0,            .1,          22.1
NA,NA,NA,2022-23,Boston - Excel High School,00350522,       0.0,            .0,            .0,          38.6,            .0,            .0,          38.6
NA,NA,NA,2022-23,Boston - Fenway High School,00350540,       0.0,            .0,            .0,          30.9,            .0,            .0,          30.9
NA,NA,NA,2022-23,Boston - Frederick Pilot Middle School,00350383,       0.0,            .0,          41.8,            .0,            .0,            .2,          42.0
NA,NA,NA,2022-23,Boston - Gardner Pilot Academy,00350326,      14.0,          11.0,          10.9,            .0,            .0,            .2,          36.0
NA,NA,NA,2022-23,Boston - Greater Egleston High School,00350543,       0.0,            .0,            .0,           9.0,            .0,            .0,           9.0
NA,NA,NA,2022-23,Boston - Greenwood Sarah K-8 School,00350308,      12.9,          10.2,           6.7,            .0,            .0,           4.1,          34.0
NA,NA,NA,2022-23,Boston - Grew Elementary School,00350135,       9.7,          11.0,           1.6,            .0,            .0,            .0,          22.3
NA,NA,NA,2022-23,Boston - Guild Elementary School,00350062,      14.0,          13.8,           3.7,            .0,            .0,            .0,          31.5
