Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,# Grade 11 and 12 Students,# Students Completing Advanced,% Students Completing Advanced,% ELA,% Math,% Science and Technology,% Computer and Information Science,% History and Social Sciences,% Arts,% All Other Subjects,Ch 74 Secondary Cooperative Program
NA,NA,a-curv-i4,2024-25,Beverly-Beverly High,00300505,         436,         297,  68.1,  19.0,  49.1,  20.9,   0.7,  20.0,   4.1,  25.9,   0.0
NA,NA,a-curv-i4,2024-25,Billerica-Billerica Memorial High School,00310505,         391,         335,  85.7,  21.2,  74.4,  38.1,  26.1,  16.4,   0.0,   4.6,   0.0
NA,NA,a-curv-i4,2024-25,Blackstone Valley Regional Vocational Technical-Blackstone Valley,08050605,         498,         346,  69.5,  14.9,  49.6,  19.9,   1.6,  18.3,   0.4,   0.6,  36.1
NA,NA,a-curv-i4,2024-25,Blackstone-Millville-Blackstone Millville RHS,06220505,         154,         114,  74.0,  21.4,  59.7,  24.0,   0.0,   5.2,   1.3,   0.0,   0.0
NA,NA,a-curv-i4,2024-25,Blue Hills Regional Vocational Technical-Blue Hills Regional Vocational Technical,08060605,         216,         147,  68.1,   8.8,  55.6,  25.5,   0.0,   5.6,   0.0,   0.0,  32.4
NA,NA,a-curv-i4,2024-25,Boston Collegiate Charter (District)-Boston Collegiate Charter School,04490305,          58,          55,  94.8,  29.3,  89.7,  56.9,  22.4,  31.0,  17.2,   3.4,   0.0
NA,NA,a-curv-i4,2024-25,Boston Day and Evening Academy Charter (District)-Boston Day and Evening Academy Charter School,04240505,           7,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
NA,NA,a-curv-i4,2024-25,Boston Green Academy Horace Mann Charter School (District)-Boston Green Academy Horace Mann Charter School,04110305,           9,           6,  66.7,  11.1,  66.7,  66.7,   0.0,  22.2,   0.0,   0.0,   0.0
NA,NA,a-curv-i4,2024-25,Boston Preparatory Charter Public (District)-Boston Preparatory Charter Public School,04160305,           3,"","","","","","","","","",""
NA,NA,a-curv-i4,2024-25,Boston-Albert D Holland School of Technology,00350525,           5,"","","","","","","","","",""
NA,NA,a-curv-i4,2024-25,Boston-Another Course To College,00350541,           2,"","","","","","","","","",""
NA,NA,a-curv-i4,2024-25,Boston-Boston Adult Tech Academy,00350548,           3,"","","","","","","","","",""
NA,NA,a-curv-i4,2024-25,Boston-Boston Arts Academy,00350546,          33,          31,  93.9,  18.2,  72.7,  39.4,   0.0,   3.0,   3.0,  27.3,   0.0
NA,NA,a-curv-i4,2024-25,Boston-Boston Collaborative High School,00350755,           4,"","","","","","","","","",""
NA,NA,a-curv-i4,2024-25,Boston-Boston International High School & Newcomers Academy,00350507,           5,"","","","","","","","","",""
NA,NA,a-curv-i4,2024-25,Boston-Boston Latin Academy,00350545,         154,         154, 100.0,  40.3,  90.9,   7.8,  18.2,  73.4,   0.0,  20.8,   0.0
NA,NA,a-curv-i4,2024-25,Boston-Boston Latin School,00350560,         339,         337,  99.4,  31.9,  97.3,  55.8,  18.3,  69.0,   7.1,  24.5,   0.0
NA,NA,a-curv-i4,2024-25,Boston-Brighton High School,00350505,          14,          11,  78.6,  14.3,  71.4,  42.9,   7.1,   7.1,   0.0,   0.0,   0.0
NA,NA,a-curv-i4,2024-25,Boston-Carter School,00350036,           2,"","","","","","","","","",""
NA,NA,a-curv-i4,2024-25,Boston-Charlestown High School,00350515,          21,          16,  76.2,  42.9,  42.9,  14.3,  14.3,  23.8,   0.0,  14.3,   0.0
NA,NA,a-curv-i4,2024-25,Boston-Community Academy,00350518,           1,"","","","","","","","","",""
NA,NA,a-curv-i4,2024-25,Boston-Community Academy of Science and Health,00350581,           6,           3,  50.0,  16.7,  50.0,  16.7,   0.0,   0.0,   0.0,   0.0,   0.0
NA,NA,a-curv-i4,2024-25,Boston-Dearborn 6-12 STEM Academy,00350074,           4,"","","","","","","","","",""
NA,NA,a-curv-i4,2024-25,Boston-East Boston High School,00350530,          48,          45,  93.8,  18.8,  89.6,  14.6,   8.3,   6.3,   0.0,   6.3,   0.0
