Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,<26 yrs (# ),26-32 yrs (#),33-40 yrs (#),41-48 yrs (#),49-56 yrs (#),57-64 yrs (#),Over 64 yrs (#),FTE Count,Student Count,Student to Nurse Ratio
6.117333333333334,5,a-phya-i1,2024-25,Amherst - Crocker Farm Elementary,00080009,          0.0,          0.0,          0.0,          1.0,          0.0,          0.0,          0.0,          1.0,353,353.0
7.010666666666666,5,a-phya-i1,2024-25,Amherst - Fort River Elementary,00080020,          0.0,          0.0,          1.0,          0.0,          1.0,          0.0,          0.0,          2.0,371,185.5
6.325333333333333,5,a-phya-i1,2024-25,Amherst - Wildwood Elementary,00080050,          0.0,          0.0,          1.0,          0.0,          0.0,          0.0,          0.0,          1.0,314,314.0
5.824,5,a-phya-i1,2024-25,Amherst-Pelham - Amherst Regional High,06050505,          0.0,          0.0,          0.0,          0.0,          0.2,          0.6,          1.2,          2.0,816,408.0
6.048,5,a-phya-i1,2024-25,Amherst-Pelham - Amherst Regional Middle School,06050405,          0.0,          0.0,          0.0,          1.0,          0.0,          0.0,          0.0,          1.0,366,366.0
3.913650793650794,3.91,a-phya-i1,2024-25,Andover - Andover High,00090505,          0.0,          0.0,          1.0,          0.0,          0.1,          1.0,          0.0,          2.1,1609,766.1904761904761
5.536969696969697,5,a-phya-i1,2024-25,Andover - Andover West Middle,00090310,          0.0,          0.0,          0.0,          0.0,          0.1,          1.0,          0.0,          1.1,508,461.81818181818176
5.46909090909091,5,a-phya-i1,2024-25,Andover - Bancroft Elementary,00090003,          0.0,          0.0,          0.0,          1.0,          0.1,          0.0,          0.0,          1.1,522,474.5454545454545
5.60969696969697,5,a-phya-i1,2024-25,Andover - Doherty Middle,00090305,          0.0,          0.0,          0.0,          0.0,          0.1,          1.0,          0.0,          1.1,493,448.18181818181813
6.390303030303031,5,a-phya-i1,2024-25,Andover - Henry C Sanborn Elementary,00090010,          0.0,          0.0,          0.0,          0.0,          0.1,          1.0,          0.0,          1.1,332,301.8181818181818
5.551515151515152,5,a-phya-i1,2024-25,Andover - High Plain Elementary,00090004,          0.0,          0.0,          1.0,          0.0,          0.1,          0.0,          0.0,          1.1,505,459.09090909090907
7.587878787878788,5,a-phya-i1,2024-25,Andover - Shawsheen School,00090005,          0.0,          0.0,          0.0,          1.0,          0.1,          0.0,          0.0,          1.1,85,77.27272727272727
5.876363636363637,5,a-phya-i1,2024-25,Andover - South Elementary,00090020,          0.0,          0.0,          0.0,          0.0,          0.1,          0.5,          0.5,          1.1,438,398.18181818181813
6.463492063492064,5,a-phya-i1,2024-25,Andover - West Elementary,00090025,          0.0,          0.0,          0.0,          1.0,          0.1,          1.0,          0.0,          2.1,605,288.0952380952381
6.463030303030304,5,a-phya-i1,2024-25,Andover - Wood Hill Middle School,00090350,          0.0,          0.0,          0.0,          1.0,          0.1,          0.0,          0.0,          1.1,317,288.18181818181813
5.763809523809524,5,a-phya-i1,2024-25,Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,          0.0,          0.0,          0.7,          0.0,          0.7,          0.0,          0.0,          1.4,587,419.28571428571433
5.5827027027027025,5,a-phya-i1,2024-25,Arlington - Arlington High,00100505,          0.0,          1.1,          0.0,          0.6,          0.0,          2.0,          0.0,          3.7,1677,453.2432432432432
6.089696969696971,5,a-phya-i1,2024-25,Arlington - Brackett,00100010,          0.0,          1.1,          0.0,          0.0,          0.0,          0.0,          0.0,          1.1,394,358.18181818181813
-12.8,1,a-phya-i1,2024-25,Arlington - Cyrus E Dallin,00100025,          0.0,          0.1,          0.0,          0.0,          0.0,          0.0,          0.0,          0.1,390,3900.0
6.6565079365079365,5,a-phya-i1,2024-25,Arlington - Gibbs School,00100305,          0.0,          0.1,          0.0,          2.0,          0.0,          0.0,          0.0,          2.1,529,251.9047619047619
7.342795698924731,5,a-phya-i1,2024-25,Arlington - Hardy,00100030,          0.0,          1.1,          1.0,          1.0,          0.0,          0.0,          0.0,          3.1,382,123.2258064516129
6.181818181818182,5,a-phya-i1,2024-25,Arlington - John A Bishop,00100005,          0.0,          0.1,          0.0,          0.0,          1.0,          0.0,          0.0,          1.1,375,340.9090909090909
