Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,K,01,02,03,04,05,06,07,08,09,10,11,12,All Grades,Total Students
4.856774193548387,4.86,a-picp-i1,2022-23,Abby Kelley Foster Charter Public (District)-Abby Kelley Foster Charter Public School,04450105, 100.0, 100.0, 100.0, 100.0, 100.0,  99.2, 100.0, 100.0,  99.1, 100.0,  96.3,  45.6,  65.9,  94.1,"       1,419"
2.565161290322581,2.57,a-picp-i1,2022-23,Abington-Abington High,00010505,"","","","","","","","","",  58.0,  62.4,  30.9,  49.6,  49.7,         553
5.037419354838709,5,a-picp-i1,2022-23,Abington-Abington Middle School,00010405,"","","","","", 100.0,  99.4,  93.3,  97.2,"","","","",  97.6,         662
5.161290322580645,5,a-picp-i1,2022-23,Abington-Beaver Brook Elementary,00010020, 100.0, 100.0, 100.0,"","","","","","","","","","", 100.0,         530
5.161290322580645,5,a-picp-i1,2022-23,Abington-Woodsdale Elementary School,00010015,"","","", 100.0, 100.0,"","","","","","","","", 100.0,         343
4.985806451612903,4.99,a-picp-i1,2022-23,Academy Of the Pacific Rim Charter Public (District)-Academy Of the Pacific Rim Charter Public School,04120530,"","","","","", 100.0, 100.0, 100.0,  98.6,  96.9,  98.3,  96.9,  81.1,  96.6,         467
2.4929032258064514,2.49,a-picp-i1,2022-23,Acton-Boxborough-Acton-Boxborough Regional High,06000505,"","","","","","","","","",  69.4,  62.3,  28.9,  34.1,  48.3,"       1,687"
5.161290322580645,5,a-picp-i1,2022-23,Acton-Boxborough-Blanchard Memorial School,06000005, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0,"","","","","","", 100.0,         504
5.161290322580645,5,a-picp-i1,2022-23,Acton-Boxborough-C.T. Douglas Elementary School,06000020, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0,"","","","","","", 100.0,         385
5.161290322580645,5,a-picp-i1,2022-23,Acton-Boxborough-Luther Conant School,06000030, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0,"","","","","","", 100.0,         408
5.150967741935483,5,a-picp-i1,2022-23,Acton-Boxborough-McCarthy-Towne School,06000015, 100.0,  97.7, 100.0, 100.0, 100.0, 100.0, 100.0,"","","","","","",  99.8,         452
5.161290322580645,5,a-picp-i1,2022-23,Acton-Boxborough-Merriam School,06000010, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0,"","","","","","", 100.0,         445
5.161290322580645,5,a-picp-i1,2022-23,Acton-Boxborough-Paul P Gates Elementary School,06000025, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0,"","","","","","", 100.0,         346
4.763870967741935,4.76,a-picp-i1,2022-23,Acton-Boxborough-Raymond J Grey Junior High,06000405,"","","","","","","",  91.3,  93.4,"","","","",  92.3,         835
5.016774193548387,5,a-picp-i1,2022-23,Acushnet-Acushnet Elementary School,00030025, 100.0,  83.3, 100.0, 100.0, 100.0,"","","","","","","","",  97.2,         496
0.9754838709677419,1,a-picp-i1,2022-23,Acushnet-Albert F Ford Middle School,00030305,"","","","","",  26.2,  22.1,  15.7,  12.6,"","","","",  18.9,         408
4.08258064516129,4.08,a-picp-i1,2022-23,Advanced Math and Science Academy Charter (District)-Advanced Math and Science Academy Charter School,04300305,"","","","","","",  97.2,  99.3, 100.0,  88.3,  53.1,  40.6,  69.8,  79.1,         957
2.771612903225807,2.77,a-picp-i1,2022-23,Agawam-Agawam High,00050505,"","","","","","","","","",  60.8,  46.2,  44.9,  61.0,  53.7,"       1,049"
4.836129032258064,4.84,a-picp-i1,2022-23,Agawam-Agawam Junior High,00050405,"","","","","","","",  94.8,  92.6,"","","","",  93.7,         537
5.161290322580645,5,a-picp-i1,2022-23,Agawam-Benjamin J Phelps,00050020, 100.0, 100.0, 100.0, 100.0, 100.0,"","","","","","","","", 100.0,         305
5.130322580645162,5,a-picp-i1,2022-23,Agawam-Clifford M Granger,00050010, 100.0,  98.7, 100.0, 100.0,  98.4,"","","","","","","","",  99.4,         336
5.161290322580645,5,a-picp-i1,2022-23,Agawam-James Clark School,00050030, 100.0, 100.0, 100.0, 100.0, 100.0,"","","","","","","","", 100.0,         314
5.083870967741936,5,a-picp-i1,2022-23,Agawam-Roberta G. Doering School,00050303,"","","","","",  97.5,  99.3,"","","","","","",  98.5,         531
5.145806451612903,5,a-picp-i1,2022-23,Agawam-Robinson Park,00050025, 100.0,  98.0, 100.0, 100.0, 100.0,"","","","","","","","",  99.7,         289
5.135483870967742,5,a-picp-i1,2022-23,Alma del Mar Charter School (District)-Alma del Mar Charter School,04090205, 100.0,  99.0, 100.0, 100.0, 100.0,  99.0,  98.7,  99.3, 100.0,"","","","",  99.5,"       1,034"
5.161290322580645,5,a-picp-i1,2022-23,Amesbury-Amesbury Elementary,00070005, 100.0, 100.0, 100.0, 100.0, 100.0,"","","","","","","","", 100.0,         307
3.958709677419355,3.96,a-picp-i1,2022-23,Amesbury-Amesbury High,00070505,"","","","","","","","","",  69.6,  69.9,  78.4,  89.7,  76.7,         446
2.8541935483870966,2.85,a-picp-i1,2022-23,Amesbury-Amesbury Innovation High School,00070515,"","","","","","","","","",  46.2,  57.1,  72.7,  44.4,  55.3,          47
5.047741935483871,5,a-picp-i1,2022-23,Amesbury-Amesbury Middle,00070013,"","","","","",  97.8,  98.5,  99.4,  95.7,"","","","",  97.8,         588
5.161290322580645,5,a-picp-i1,2022-23,Amesbury-Charles C Cashman Elementary,00070010, 100.0, 100.0, 100.0, 100.0, 100.0,"","","","","","","","", 100.0,         358
