Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,# Enrolled,# Retained,% Retained,01,02,03,04,05,06,07,08,09,10,11,12
8.0,5,a-degr-i2,2022-23,Arlington-M Norcross Stratton,00100055,         385,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,"","","","","","",""
8.0,5,a-degr-i2,2022-23,Arlington-Gibbs School,00100305,         511,           0,   0.0,"","","","","",   0.0,"","","","","",""
8.0,5,a-degr-i2,2022-23,Arlington-Ottoson Middle,00100410,         922,           0,   0.0,"","","","","","",   0.0,   0.0,"","","",""
8.0,5,a-degr-i2,2022-23,Arlington-John A Bishop,00100005,         340,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,"","","","","","",""
8.0,5,a-degr-i2,2022-23,Arlington-Brackett,00100010,         342,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,"","","","","","",""
8.0,5,a-degr-i2,2022-23,Arlington-Cyrus E Dallin,00100025,         348,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,"","","","","","",""
7.4,5,a-degr-i2,2022-23,Arlington-Hardy,00100030,         326,           1,   0.3,   0.0,   1.6,   0.0,   0.0,   0.0,"","","","","","",""
7.6,5,a-degr-i2,2022-23,Arlington-Thompson,00100050,         414,           1,   0.2,   1.0,   0.0,   0.0,   0.0,   0.0,"","","","","","",""
7.4,5,a-degr-i2,2022-23,Arlington-Arlington High,00100505,"       1,527",           4,   0.3,"","","","","","","","",   0.0,   0.0,   0.0,   1.1
7.0,5,a-degr-i2,2022-23,Ashburnham-Westminster-Oakmont Regional High School,06100505,         650,           3,   0.5,"","","","","","","","",   1.2,   0.0,   0.0,   0.6
8.0,5,a-degr-i2,2022-23,Ashburnham-Westminster-Overlook Middle School,06100305,         549,           0,   0.0,"","","","","",   0.0,   0.0,   0.0,"","","",""
7.0,5,a-degr-i2,2022-23,Ashburnham-Westminster-Briggs Elementary,06100025,         397,           2,   0.5,   0.0,   1.4,   1.4,   0.0,   0.0,"","","","","","",""
7.0,5,a-degr-i2,2022-23,Ashburnham-Westminster-Westminster Elementary,06100005,         389,           2,   0.5,"",   1.1,   0.0,   0.9,   0.0,"","","","","","",""
8.0,5,a-degr-i2,2022-23,Ashburnham-Westminster-Meetinghouse School,06100010,          83,           0,   0.0,   0.0,"","","","","","","","","","",""
8.0,5,a-degr-i2,2022-23,Ashland-David Mindess,00140015,         644,           0,   0.0,"","",   0.0,   0.0,   0.0,"","","","","","",""
7.6,5,a-degr-i2,2022-23,Ashland-Henry E Warren Elementary,00140010,         467,           1,   0.2,   0.0,   0.4,"","","","","","","","","",""
8.0,5,a-degr-i2,2022-23,Ashland-Ashland Middle,00140405,         682,           0,   0.0,"","","","","",   0.0,   0.0,   0.0,"","","",""
7.6,5,a-degr-i2,2022-23,Ashland-Ashland High,00140505,         840,           2,   0.2,"","","","","","","","",   0.4,   0.5,   0.0,   0.0
7.8,5,a-degr-i2,2022-23,Assabet Valley Regional Vocational Technical-Assabet Valley Vocational High School,08010605,"       1,128",           1,   0.1,"","","","","","","","",   0.0,   0.3,   0.0,   0.0
7.6,5,a-degr-i2,2022-23,Athol-Royalston-Athol Community Elementary School,06150020,         420,           1,   0.2,   0.8,   0.0,   0.0,   0.0,"","","","","","","",""
7.6,5,a-degr-i2,2022-23,Athol-Royalston-Athol-Royalston Middle School,06150305,         429,           1,   0.2,"","","","",   1.0,   0.0,   0.0,   0.0,"","","",""
-1.4000000000000004,1,a-degr-i2,2022-23,Athol-Royalston-Athol High,06150505,         402,          19,   4.7,"","","","","","","","",   9.6,   4.5,   1.0,   2.6
8.0,5,a-degr-i2,2022-23,Athol-Royalston-Royalston Community School,06150050,         116,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,"","","","","",""
7.2,5,a-degr-i2,2022-23,Atlantis Charter (District)-Atlantis Charter School,04910550,"       1,173",           5,   0.4,   1.8,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   1.4,   1.2,   1.6,   0.0
6.6,5,a-degr-i2,2022-23,Attleboro-Thomas Willett Elementary School,00160035,         298,           2,   0.7,   1.4,   0.0,   1.4,   0.0,"","","","","","","",""
8.0,5,a-degr-i2,2022-23,Attleboro-Attleboro Virtual Academy,00160705,          40,           0,   0.0,"","","","","","","","","",   0.0,   0.0,   0.0
-6.199999999999999,1,a-degr-i2,2022-23,Attleboro-Attleboro Community Academy,00160515,          56,           4,   7.1,"","","","","","","","","",  16.7,   9.1,   3.7
5.0,5.0,a-degr-i2,2022-23,Attleboro-Attleboro High,00160505,"       1,830",          28,   1.5,"","","","","","","","",   1.8,   1.4,   0.7,   2.3
8.0,5,a-degr-i2,2022-23,Attleboro-Wamsutta Middle School,00160320,         576,           0,   0.0,"","","","",   0.0,   0.0,   0.0,   0.0,"","","",""
7.6,5,a-degr-i2,2022-23,Attleboro-Cyril K. Brennan Middle School,00160315,         623,           1,   0.2,"","","","",   0.0,   0.0,   0.0,   0.6,"","","",""
8.0,5,a-degr-i2,2022-23,Attleboro-Robert J. Coelho Middle School,00160305,         573,           0,   0.0,"","","","",   0.0,   0.0,   0.0,   0.0,"","","",""
8.0,5,a-degr-i2,2022-23,Attleboro-Hyman Fine Elementary School,00160040,         367,           0,   0.0,   0.0,   0.0,   0.0,   0.0,"","","","","","","",""
8.0,5,a-degr-i2,2022-23,Attleboro-Hill-Roberts Elementary School,00160045,         343,           0,   0.0,   0.0,   0.0,   0.0,   0.0,"","","","","","","",""
7.4,5,a-degr-i2,2022-23,Attleboro-Peter Thacher Elementary School,00160050,         348,           1,   0.3,   1.1,   0.0,   0.0,   0.0,"","","","","","","",""
6.6,5,a-degr-i2,2022-23,Attleboro-A. Irvin Studley Elementary School,00160001,         278,           2,   0.7,   1.3,   1.7,   0.0,   0.0,"","","","","","","",""
8.0,5,a-degr-i2,2022-23,Auburn-Auburn Middle,00170305,         652,           0,   0.0,"","","","","",   0.0,   0.0,   0.0,"","","",""
8.0,5,a-degr-i2,2022-23,Auburn-Bryn Mawr,00170010,         174,           0,   0.0,   0.0,   0.0,"","","","","","","","","",""
8.0,5,a-degr-i2,2022-23,Auburn-Pakachoag School,00170025,         165,           0,   0.0,   0.0,   0.0,"","","","","","","","","",""
8.0,5,a-degr-i2,2022-23,Auburn-Swanson Road Intermediate School,00170030,         554,           0,   0.0,"","",   0.0,   0.0,   0.0,"","","","","","",""
8.0,5,a-degr-i2,2022-23,Auburn-Auburn Senior High,00170505,         722,           0,   0.0,"","","","","","","","",   0.0,   0.0,   0.0,   0.0
8.0,5,a-degr-i2,2022-23,Avon-Ralph D Butler,00180010,         321,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,"","","","","",""
5.6,5,a-degr-i2,2022-23,Avon-Avon Middle High School,00180510,         334,           4,   1.2,"","","","","","",   1.5,   0.0,   1.9,   3.1,   0.0,   0.0
7.0,5,a-degr-i2,2022-23,Ayer Shirley School District-Page Hilltop Elementary School,06160002,         379,           2,   0.5,   2.2,   0.0,   0.0,   0.0,   0.0,"","","","","","",""
6.0,5,a-degr-i2,2022-23,Ayer Shirley School District-Lura A. White Elementary School,06160001,         287,           3,   1.0,   4.8,   0.0,   0.0,   0.0,   0.0,"","","","","","",""
6.4,5,a-degr-i2,2022-23,Ayer Shirley School District-Ayer Shirley Regional High School,06160505,         394,           3,   0.8,"","","","","","","","",   3.1,   0.0,   0.0,   0.0
7.4,5,a-degr-i2,2022-23,Ayer Shirley School District-Ayer Shirley Regional Middle School,06160305,         367,           1,   0.3,"","","","","",   0.0,   0.9,   0.0,"","","",""
8.0,5,a-degr-i2,2022-23,Barnstable-Centerville Elementary,00200010,         186,           0,   0.0,   0.0,   0.0,   0.0,"","","","","","","","",""
0.40000000000000036,1,a-degr-i2,2022-23,Barnstable-Barnstable High,00200505,"       1,762",          67,   3.8,"","","","","","","",   0.0,   8.0,   1.1,   3.6,   6.5
8.0,5,a-degr-i2,2022-23,Barnstable-Barnstable Intermediate School,00200315,         651,           0,   0.0,"","","","","",   0.0,   0.0,"","","","",""
8.0,5,a-degr-i2,2022-23,Barnstable-Hyannis West Elementary,00200025,         249,           0,   0.0,   0.0,   0.0,   0.0,"","","","","","","","",""
8.0,5,a-degr-i2,2022-23,Barnstable-Barnstable United Elementary School,00200050,         735,           0,   0.0,"","","",   0.0,   0.0,"","","","","","",""
8.0,5,a-degr-i2,2022-23,Barnstable-Barnstable Community Innovation School,00200012,         211,           0,   0.0,   0.0,   0.0,   0.0,"","","","","","","","",""
7.4,5,a-degr-i2,2022-23,Barnstable-West Villages Elementary School,00200045,         309,           1,   0.3,   0.0,   0.9,   0.0,"","","","","","","","",""
7.0,5,a-degr-i2,2022-23,Barnstable-West Barnstable Elementary,00200005,         193,           1,   0.5,   1.5,   0.0,   0.0,"","","","","","","","",""
8.0,5,a-degr-i2,2022-23,Baystate Academy Charter Public School (District)-Baystate Academy Charter Public School,35020405,         402,           0,   0.0,"","","","","",   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
8.0,5,a-degr-i2,2022-23,Bedford-Lt Eleazer Davis,00230010,         329,           0,   0.0,   0.0,   0.0,"","","","","","","","","",""
8.0,5,a-degr-i2,2022-23,Bedford-Lt Job Lane School,00230012,         587,           0,   0.0,"","",   0.0,   0.0,   0.0,"","","","","","",""
8.0,5,a-degr-i2,2022-23,Bedford-John Glenn Middle,00230305,         597,           0,   0.0,"","","","","",   0.0,   0.0,   0.0,"","","",""
7.2,5,a-degr-i2,2022-23,Bedford-Bedford High,00230505,         841,           3,   0.4,"","","","","","","","",   0.9,   0.4,   0.0,   0.0
8.0,5,a-degr-i2,2022-23,Belchertown-Chestnut Hill Community School,00240006,         482,           0,   0.0,"","","",   0.0,   0.0,   0.0,"","","","","",""
0.20000000000000018,1,a-degr-i2,2022-23,Belchertown-Belchertown High,00240505,         635,          25,   3.9,"","","","","","","","",   7.4,   5.1,   3.2,   0.6
8.0,5,a-degr-i2,2022-23,Belchertown-Jabish Middle School,00240025,         338,           0,   0.0,"","","","","","",   0.0,   0.0,"","","",""
7.2,5,a-degr-i2,2022-23,Belchertown-Swift River Elementary,00240018,         474,           2,   0.4,   0.6,   0.0,   0.7,"","","","","","","","",""
7.2,5,a-degr-i2,2022-23,Bellingham-Bellingham High School,00250505,         740,           3,   0.4,"","","","","","","",   0.0,   1.9,   0.0,   0.0,   0.0
7.4,5,a-degr-i2,2022-23,Bellingham-Bellingham Memorial School,00250315,         587,           2,   0.3,"","","",   0.0,   0.0,   0.6,   0.7,"","","","",""
6.8,5,a-degr-i2,2022-23,Bellingham-Stall Brook,00250025,         181,           1,   0.6,   0.0,   1.7,   0.0,"","","","","","","","",""
8.0,5,a-degr-i2,2022-23,Bellingham-Joseph F DiPietro Elementary School,00250020,         223,           0,   0.0,   0.0,   0.0,   0.0,"","","","","","","","",""
-6.199999999999999,1,a-degr-i2,2022-23,Bellingham-Keough Memorial Academy,00250510,          28,           2,   7.1,"","","","","","","","",   0.0,"","",  14.3
7.2,5,a-degr-i2,2022-23,Belmont-Belmont High,00260505,"       1,364",           5,   0.4,"","","","","","","","",   0.0,   0.6,   0.6,   0.3
8.0,5,a-degr-i2,2022-23,Belmont-Winthrop L Chenery Middle,00260305,"       1,371",           0,   0.0,"","","","",   0.0,   0.0,   0.0,   0.0,"","","",""
8.0,5,a-degr-i2,2022-23,Belmont-Daniel Butler,00260015,         269,           0,   0.0,   0.0,   0.0,   0.0,   0.0,"","","","","","","",""
7.2,5,a-degr-i2,2022-23,Belmont-Mary Lee Burbank,00260010,         283,           1,   0.4,   1.6,   0.0,   0.0,   0.0,"","","","","","","",""
8.0,5,a-degr-i2,2022-23,Belmont-Winn Brook,00260005,         358,           0,   0.0,   0.0,   0.0,   0.0,   0.0,"","","","","","","",""
8.0,5,a-degr-i2,2022-23,Belmont-Roger E Wellington,00260035,         397,           0,   0.0,   0.0,   0.0,   0.0,   0.0,"","","","","","","",""
7.2,5,a-degr-i2,2022-23,Benjamin Banneker Charter Public (District)-Benjamin Banneker Charter Public School,04200205,         268,           1,   0.4,   2.2,   0.0,   0.0,   0.0,   0.0,   0.0,"","","","","",""
8.0,5,a-degr-i2,2022-23,Benjamin Franklin Classical Charter Public (District)-Benjamin Franklin Classical Charter Public School,04470205,         767,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,"","","",""
7.4,5,a-degr-i2,2022-23,Berkley-Berkley Community School,00270010,         335,           1,   0.3,   0.0,   0.0,   1.1,   0.0,"","","","","","","",""
8.0,5,a-degr-i2,2022-23,Berkley-Berkley Middle School,00270305,         373,           0,   0.0,"","","","",   0.0,   0.0,   0.0,   0.0,"","","",""
5.4,5,a-degr-i2,2022-23,Berkshire Arts and Technology Charter Public (District)-Berkshire Arts and Technology Charter Public School,04140305,         316,           4,   1.3,"","","","","",   0.0,   0.0,   1.5,   6.4,   0.0,   0.0,   0.0
8.0,5,a-degr-i2,2022-23,Berkshire Hills-Muddy Brook Regional Elementary School,06180035,         266,           0,   0.0,   0.0,   0.0,   0.0,   0.0,"","","","","","","",""
5.4,5,a-degr-i2,2022-23,Berkshire Hills-Monument Mt Regional High,06180505,         470,           6,   1.3,"","","","","","","","",   0.0,   0.7,   1.9,   2.7
8.0,5,a-degr-i2,2022-23,Berkshire Hills-W.E.B. Du Bois Regional Middle School,06180310,         325,           0,   0.0,"","","","",   0.0,   0.0,   0.0,   0.0,"","","",""
7.2,5,a-degr-i2,2022-23,Berlin-Boylston-Boylston Elementary School,06200010,         260,           1,   0.4,   0.0,   0.0,   1.7,   0.0,   0.0,"","","","","","",""
8.0,5,a-degr-i2,2022-23,Berlin-Boylston-Tahanto Regional High,06200505,         515,           0,   0.0,"","","","","",   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
8.0,5,a-degr-i2,2022-23,Berlin-Boylston-Berlin Memorial School,06200005,         160,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,"","","","","","",""
8.0,5,a-degr-i2,2022-23,Beverly-Beverly Middle School,00300305,"       1,367",           0,   0.0,"","","","",   0.0,   0.0,   0.0,   0.0,"","","",""
8.0,5,a-degr-i2,2022-23,Beverly-Ayers/Ryal Side School,00300055,         304,           0,   0.0,   0.0,   0.0,   0.0,   0.0,"","","","","","","",""
7.2,5,a-degr-i2,2022-23,Beverly-North Beverly Elementary,00300040,         283,           1,   0.4,   1.5,   0.0,   0.0,   0.0,"","","","","","","",""
8.0,5,a-degr-i2,2022-23,Beverly-Hannah Elementary,00300033,         268,           0,   0.0,   0.0,   0.0,   0.0,   0.0,"","","","","","","",""
5.0,5.0,a-degr-i2,2022-23,Beverly-Cove Elementary,00300015,         340,           5,   1.5,   2.5,   3.3,   0.0,   0.0,"","","","","","","",""
6.4,5,a-degr-i2,2022-23,Beverly-Centerville Elementary,00300010,         241,           2,   0.8,   3.8,   0.0,   0.0,   0.0,"","","","","","","",""
2.2,2.2,a-degr-i2,2022-23,Beverly-Beverly High,00300505,"       1,279",          37,   2.9,"","","","","","","","",   5.6,   2.9,   1.0,   1.8
5.8,5,a-degr-i2,2022-23,Billerica-Billerica Memorial High School,00310505,"       1,535",          17,   1.1,"","","","","","","",   0.0,   3.7,   1.7,   0.0,   0.0
8.0,5,a-degr-i2,2022-23,Billerica-Thomas Ditson,00310005,         452,           0,   0.0,   0.0,   0.0,   0.0,   0.0,"","","","","","","",""
8.0,5,a-degr-i2,2022-23,Billerica-Frederick J Dutile,00310007,         218,           0,   0.0,   0.0,   0.0,   0.0,   0.0,"","","","","","","",""
7.2,5,a-degr-i2,2022-23,Billerica-John F Kennedy,00310012,         254,           1,   0.4,   1.5,   0.0,   0.0,   0.0,"","","","","","","",""
8.0,5,a-degr-i2,2022-23,Billerica-Parker,00310015,         342,           0,   0.0,   0.0,   0.0,   0.0,   0.0,"","","","","","","",""
6.6,5,a-degr-i2,2022-23,Billerica-Hajjar Elementary,00310026,         301,           2,   0.7,   2.9,   0.0,   0.0,   0.0,"","","","","","","",""
8.0,5,a-degr-i2,2022-23,Billerica-Marshall Middle School,00310305,         604,           0,   0.0,"","","","",   0.0,   0.0,   0.0,"","","","",""
8.0,5,a-degr-i2,2022-23,Billerica-Locke Middle,00310310,         549,           0,   0.0,"","","","",   0.0,   0.0,   0.0,"","","","",""
7.6,5,a-degr-i2,2022-23,Blackstone Valley Regional Vocational Technical-Blackstone Valley,08050605,"       1,230",           3,   0.2,"","","","","","","","",   0.6,   0.0,   0.3,   0.0
7.2,5,a-degr-i2,2022-23,Blackstone-Millville-A F Maloney,06220015,         256,           1,   0.4,"","","",   0.8,   0.0,"","","","","","",""
7.0,5,a-degr-i2,2022-23,Blackstone-Millville-Millville Elementary,06220010,         195,           1,   0.5,   0.0,   0.9,"","","","","","","","","",""
8.0,5,a-degr-i2,2022-23,Blackstone-Millville-John F Kennedy Elementary,06220008,         109,           0,   0.0,"","",   0.0,"","","","","","","","",""
7.0,5,a-degr-i2,2022-23,Blackstone-Millville-Blackstone Millville RHS,06220505,         390,           2,   0.5,"","","","","","","","",   0.9,   1.1,   0.0,   0.0
7.4,5,a-degr-i2,2022-23,Blackstone-Millville-Frederick W. Hartnett Middle School,06220405,         343,           1,   0.3,"","","","","",   0.0,   0.0,   0.9,"","","",""
7.6,5,a-degr-i2,2022-23,Blue Hills Regional Vocational Technical-Blue Hills Regional Vocational Technical,08060605,         920,           2,   0.2,"","","","","","","","",   0.4,   0.0,   0.0,   0.5
6.0,5,a-degr-i2,2022-23,Boston-Lee Academy,00350001,          97,           1,   1.0,   0.0,   2.9,   0.0,"","","","","","","","",""
3.0,3.0,a-degr-i2,2022-23,Boston-Baldwin Early Learning Pilot Academy,00350003,          40,           1,   2.5,   2.5,"","","","","","","","","","",""
4.6,4.6,a-degr-i2,2022-23,Boston-Lyon K-8 School,00350004,         115,           2,   1.7,   0.0,   0.0,   8.3,   0.0,   0.0,   0.0,   6.7,   0.0,"","","",""
8.0,5,a-degr-i2,2022-23,Boston-Kilmer K-8 School,00350190,         309,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,"","","",""
8.0,5,a-degr-i2,2022-23,Boston-Harvard-Kent Elementary School,00350200,         253,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,"","","","","",""
8.0,5,a-degr-i2,2022-23,Boston-Bradley Elementary School,00350215,         218,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,"","","","","",""
6.4,5,a-degr-i2,2022-23,Boston-Mather Elementary School,00350227,         355,           3,   0.8,   2.7,   0.0,   0.0,   0.0,   1.8,"","","","","","",""
5.2,5,a-degr-i2,2022-23,Boston-Tobin K-8 School,00350229,         362,           5,   1.4,   2.7,   8.1,   2.4,   0.0,   0.0,   0.0,   0.0,   0.0,"","","",""
8.0,5,a-degr-i2,2022-23,Boston-Perkins Elementary School,00350231,         129,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,"","","","","",""
6.4,5,a-degr-i2,2022-23,Boston-Mozart Elementary School,00350237,         128,           1,   0.8,   0.0,   0.0,   0.0,   0.0,   4.8,   0.0,"","","","","",""
7.4,5,a-degr-i2,2022-23,Boston-Murphy K-8 School,00350240,         734,           2,   0.3,   0.0,   1.2,   0.0,   0.0,   0.0,   0.0,   1.4,   0.0,"","","",""
6.4,5,a-degr-i2,2022-23,Boston-Hale Elementary School,00350243,         132,           1,   0.8,   4.5,   0.0,   0.0,   0.0,   0.0,   0.0,"","","","","",""
