Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,# Grade Nine Students,# Passing All Courses,% Passing All Courses
3.44,3.44,a-ovpe-i1,2021-22,Boston-Burke High School,00350525,          82,          67,  81.7
NA,NA,a-ovpe-i1,2021-22,Boston-Carter School,00350036,           3,"",""
3.4947368421052634,3.49,a-ovpe-i1,2021-22,Boston-Charlestown High School,00350515,         112,          93,  83.0
0.5263157894736842,1,a-ovpe-i1,2021-22,Boston-Community Academy,00350518,           8,           1,  12.5
1.625263157894737,1.63,a-ovpe-i1,2021-22,Boston-Community Academy of Science and Health,00350581,          83,          32,  38.6
2.2821052631578946,2.28,a-ovpe-i1,2021-22,Boston-Dearborn 6-12 STEM Academy,00350074,          83,          45,  54.2
2.513684210526316,2.51,a-ovpe-i1,2021-22,Boston-East Boston High School,00350530,         238,         142,  59.7
0.25263157894736843,1,a-ovpe-i1,2021-22,Boston-English High School,00350535,         134,           8,   6.0
2.3705263157894736,2.37,a-ovpe-i1,2021-22,Boston-Excel High School,00350522,          96,          54,  56.3
2.3957894736842102,2.4,a-ovpe-i1,2021-22,Boston-Fenway High School,00350540,         102,          58,  56.9
NA,NA,a-ovpe-i1,2021-22,Boston-Greater Egleston High School,00350543,           3,"",""
3.541052631578947,3.54,a-ovpe-i1,2021-22,Boston-Henderson K-12 Inclusion School Upper,00350426,          63,          53,  84.1
4.2105263157894735,4.21,a-ovpe-i1,2021-22,Boston-Horace Mann School for the Deaf Hard of Hearing,00350750,           9,           9, 100.0
3.7263157894736842,3.73,a-ovpe-i1,2021-22,Boston-Lyon High School,00350655,          26,          23,  88.5
2.568421052631579,2.57,a-ovpe-i1,2021-22,Boston-Madison Park Technical Vocational High School,00350537,         308,         188,  61.0
3.322105263157895,3.32,a-ovpe-i1,2021-22,Boston-Margarita Muniz Academy,00350549,          38,          30,  78.9
1.5326315789473683,1.53,a-ovpe-i1,2021-22,Boston-McKinley Schools,00350363,          33,          12,  36.4
2.863157894736842,2.86,a-ovpe-i1,2021-22,Boston-New Mission High School,00350542,         128,          87,  68.0
3.6926315789473687,3.69,a-ovpe-i1,2021-22,Boston-O'Bryant School of Math & Science,00350575,         318,         279,  87.7
3.3684210526315788,3.37,a-ovpe-i1,2021-22,Boston-Quincy Upper School,00350565,          70,          56,  80.0
2.349473684210526,2.35,a-ovpe-i1,2021-22,Boston-Snowden International High School,00350690,         138,          77,  55.8
2.665263157894737,2.67,a-ovpe-i1,2021-22,Boston-TechBoston Academy,00350657,         139,          88,  63.3
3.722105263157895,3.72,a-ovpe-i1,2021-22,Bourne-Bourne High School,00360505,          86,          76,  88.4
4.2105263157894735,4.21,a-ovpe-i1,2021-22,Braintree-Braintree High,00400505,         433,         433, 100.0
3.8989473684210525,3.9,a-ovpe-i1,2021-22,Bridgewater-Raynham-Bridgewater-Raynham Regional,06250505,         378,         350,  92.6
NA,NA,a-ovpe-i1,2021-22,Bridgewater-Raynham-Therapeutic Day School,06250415,           2,"",""
3.7431578947368425,3.74,a-ovpe-i1,2021-22,Bristol County Agricultural-Bristol County Agricultural High,09100705,         171,         152,  88.9
4.08421052631579,4.08,a-ovpe-i1,2021-22,Bristol-Plymouth Regional Vocational Technical-Bristol-Plymouth Vocational Technical,08100605,         337,         327,  97.0
1.1789473684210525,1.18,a-ovpe-i1,2021-22,Brockton-Brockton Champion High School,00440515,          25,           7,  28.0
1.9705263157894735,1.97,a-ovpe-i1,2021-22,Brockton-Brockton High,00440505,"       1,296",         607,  46.8
1.3178947368421052,1.32,a-ovpe-i1,2021-22,Brockton-Brockton Virtual Learning Academy,00440705,          32,          10,  31.3
1.7263157894736842,1.73,a-ovpe-i1,2021-22,Brockton-Edison Academy,00440520,          39,          16,  41.0
NA,NA,a-ovpe-i1,2021-22,Brockton-Frederick Douglass Academy,00440080,           2,"",""
0.42105263157894735,1,a-ovpe-i1,2021-22,Brockton-Huntington Therapeutic Day School,00440400,          10,           1,  10.0
3.7431578947368425,3.74,a-ovpe-i1,2021-22,Brooke Charter School (District)-Brooke Charter School,04280305,         153,         136,  88.9
3.8652631578947365,3.87,a-ovpe-i1,2021-22,Brookline-Brookline High,00460505,         546,         501,  91.8
3.9621052631578944,3.96,a-ovpe-i1,2021-22,Burlington-Burlington High,00480505,         239,         225,  94.1
3.511578947368421,3.51,a-ovpe-i1,2021-22,Cambridge-Cambridge Rindge and Latin,00490506,         493,         411,  83.4
3.9073684210526314,3.91,a-ovpe-i1,2021-22,Canton-Canton High,00500505,         235,         218,  92.8
3.9073684210526314,3.91,a-ovpe-i1,2021-22,Cape Cod Regional Vocational Technical-Cape Cod Region Vocational Technical,08150605,         180,         167,  92.8
3.7010526315789476,3.7,a-ovpe-i1,2021-22,Carver-Carver Middle/High School,00520405,          99,          87,  87.9
3.3389473684210524,3.34,a-ovpe-i1,2021-22,Central Berkshire-Wahconah Regional High,06350505,         135,         107,  79.3
3.9242105263157896,3.92,a-ovpe-i1,2021-22,Chelmsford-Chelmsford High,00560505,         338,         315,  93.2
1.6336842105263156,1.63,a-ovpe-i1,2021-22,Chelsea-Chelsea High,00570505,         538,         209,  38.8
NA,NA,a-ovpe-i1,2021-22,Chelsea-Chelsea Opportunity Academy,00570515,           1,"",""
NA,NA,a-ovpe-i1,2021-22,Chicopee-Chicopee Academy,00610021,          12,           0,    .0
3.1621052631578945,3.16,a-ovpe-i1,2021-22,Chicopee-Chicopee Comprehensive High School,00610510,         329,         247,  75.1
2.303157894736842,2.3,a-ovpe-i1,2021-22,Chicopee-Chicopee High,00610505,         232,         127,  54.7
2.3957894736842102,2.4,a-ovpe-i1,2021-22,City on a Hill Charter Public School (District)-City on a Hill Charter Public School,04370505,          51,          29,  56.9
3.528421052631579,3.53,a-ovpe-i1,2021-22,Clinton-Clinton Senior High,00640505,         136,         114,  83.8
2.7747368421052636,2.77,a-ovpe-i1,2021-22,Codman Academy Charter Public (District)-Codman Academy Charter Public School,04380505,          44,          29,  65.9
4.172631578947368,4.17,a-ovpe-i1,2021-22,Cohasset-Cohasset High School,00650505,         106,         105,  99.1
3.6168421052631583,3.62,a-ovpe-i1,2021-22,Collegiate Charter School of Lowell (District)-Collegiate Charter School of Lowell,35030205,          71,          61,  85.9
3.886315789473684,3.89,a-ovpe-i1,2021-22,Community Charter School of Cambridge (District)-Community Charter School of Cambridge,04360305,          52,          48,  92.3
4.172631578947368,4.17,a-ovpe-i1,2021-22,Concord-Carlisle-Concord Carlisle High,06400505,         318,         315,  99.1
3.781052631578947,3.78,a-ovpe-i1,2021-22,Danvers-Danvers High,00710505,         187,         168,  89.8
2.8842105263157896,2.88,a-ovpe-i1,2021-22,Dartmouth-Dartmouth High,00720505,         254,         174,  68.5
3.444210526315789,3.44,a-ovpe-i1,2021-22,Dedham-Dedham High,00730505,         198,         162,  81.8
3.0063157894736845,3.01,a-ovpe-i1,2021-22,Dennis-Yarmouth-Dennis-Yarmouth Regional High,06450505,         210,         150,  71.4
3.5242105263157897,3.52,a-ovpe-i1,2021-22,Dighton-Rehoboth-Dighton-Rehoboth Regional High School,06500505,         184,         154,  83.7
3.6336842105263156,3.63,a-ovpe-i1,2021-22,Douglas-Douglas High School,00770505,          73,          63,  86.3
4.16,4.16,a-ovpe-i1,2021-22,Dover-Sherborn-Dover-Sherborn Regional High,06550505,         166,         164,  98.8
3.094736842105263,3.09,a-ovpe-i1,2021-22,Dracut-Dracut Senior High,00790505,         230,         169,  73.5
3.4568421052631577,3.46,a-ovpe-i1,2021-22,Dudley-Charlton Reg-Shepherd Hill Regional High,06580505,         240,         197,  82.1
4.122105263157895,4.12,a-ovpe-i1,2021-22,Duxbury-Duxbury High,00820505,         237,         232,  97.9
3.418947368421053,3.42,a-ovpe-i1,2021-22,East Bridgewater-East Bridgewater JR./SR. High School,00830505,         133,         108,  81.2
3.9326315789473685,3.93,a-ovpe-i1,2021-22,East Longmeadow-East Longmeadow High,00870505,         182,         170,  93.4
3.5663157894736845,3.57,a-ovpe-i1,2021-22,Easthampton-Easthampton High,00860505,         111,          94,  84.7
4.046315789473684,4.05,a-ovpe-i1,2021-22,Easton-Oliver Ames High,00880505,         282,         271,  96.1
2.9305263157894736,2.93,a-ovpe-i1,2021-22,Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District)-Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),04520505,         102,          71,  69.6
3.44,3.44,a-ovpe-i1,2021-22,Essex North Shore Agricultural and Technical School District-Essex North Shore Agricultural and Technical School,08170505,         442,         361,  81.7
NA,NA,a-ovpe-i1,2021-22,Everett-Devens School,00930030,           5,"",""
1.608421052631579,1.61,a-ovpe-i1,2021-22,Everett-Everett High,00930505,         691,         264,  38.2
3.7136842105263157,3.71,a-ovpe-i1,2021-22,Excel Academy Charter (District)-Excel Academy Charter School,04100205,         178,         157,  88.2
3.5157894736842104,3.52,a-ovpe-i1,2021-22,Fairhaven-Fairhaven High,00940505,         170,         142,  83.5
1.7515789473684211,1.75,a-ovpe-i1,2021-22,Fall River-B M C Durfee High,00950505,         656,         273,  41.6
1.2042105263157896,1.2,a-ovpe-i1,2021-22,Fall River-Resiliency Preparatory Academy,00950525,          21,           6,  28.6
4.2105263157894735,4.21,a-ovpe-i1,2021-22,Fall River-Stone PK-12 School,00950340,           8,           8, 100.0
3.263157894736842,3.26,a-ovpe-i1,2021-22,Falmouth-Falmouth High,00960505,         213,         165,  77.5
2.185263157894737,2.19,a-ovpe-i1,2021-22,Fitchburg-Fitchburg High,00970505,         316,         164,  51.9
NA,NA,a-ovpe-i1,2021-22,Fitchburg-Goodrich Academy,00970510,           4,"",""
4.2105263157894735,4.21,a-ovpe-i1,2021-22,Four Rivers Charter Public (District)-Four Rivers Charter Public School,04130505,          40,          40, 100.0
3.2042105263157894,3.2,a-ovpe-i1,2021-22,Foxborough Regional Charter (District)-Foxborough Regional Charter School,04460550,         113,          86,  76.1
3.953684210526316,3.95,a-ovpe-i1,2021-22,Foxborough-Foxborough High,00990505,         198,         186,  93.9
2.808421052631579,2.81,a-ovpe-i1,2021-22,Framingham-Framingham High School,01000515,         750,         500,  66.7
4.2105263157894735,4.21,a-ovpe-i1,2021-22,Francis W. Parker Charter Essential (District)-Francis W. Parker Charter Essential School,04780505,          66,          66, 100.0
4.134736842105263,4.13,a-ovpe-i1,2021-22,Franklin County Regional Vocational Technical-Franklin County Technical,08180605,         166,         163,  98.2
4.113684210526316,4.11,a-ovpe-i1,2021-22,Franklin-Franklin High,01010505,         396,         387,  97.7
3.372631578947368,3.37,a-ovpe-i1,2021-22,Freetown-Lakeville-Apponequet Regional High,06650505,         186,         149,  80.1
NA,NA,a-ovpe-i1,2021-22,Freetown-Lakeville-Freetown-Lakeville Middle School,06650305,           1,"",""
3.8063157894736843,3.81,a-ovpe-i1,2021-22,Frontier-Frontier Regional,06700505,         104,          94,  90.4
1.0526315789473684,1.05,a-ovpe-i1,2021-22,Gardner-Gardner Academy for Learning and Technology,01030515,           8,           2,  25.0
2.9305263157894736,2.93,a-ovpe-i1,2021-22,Gardner-Gardner High,01030505,         184,         128,  69.6
3.1578947368421053,3.16,a-ovpe-i1,2021-22,Gateway-Gateway Regional High,06720505,          40,          30,  75.0
4.2105263157894735,4.21,a-ovpe-i1,2021-22,Georgetown-Georgetown High School,01050505,           8,           8, 100.0
2.4926315789473685,2.49,a-ovpe-i1,2021-22,Gill-Montague-Turners Fall High,06740505,          49,          29,  59.2
2.6778947368421053,2.68,a-ovpe-i1,2021-22,Global Learning Charter Public (District)-Global Learning Charter Public School,04960305,          44,          28,  63.6
2.6273684210526316,2.63,a-ovpe-i1,2021-22,Gloucester-Gloucester High,01070505,         213,         133,  62.4
4.1010526315789475,4.1,a-ovpe-i1,2021-22,Grafton-Grafton High School,01100505,         234,         228,  97.4
4.117894736842105,4.12,a-ovpe-i1,2021-22,Granby-Granby Jr Sr High School,01110505,          45,          44,  97.8
1.6,1.6,a-ovpe-i1,2021-22,Greater Commonwealth Virtual District-Greater Commonwealth Virtual School,39010900,         137,          52,  38.0
3.7978947368421054,3.8,a-ovpe-i1,2021-22,Greater Fall River Regional Vocational Technical-Diman Regional Vocational Technical High,08210605,         369,         333,  90.2
3.983157894736842,3.98,a-ovpe-i1,2021-22,Greater Lawrence Regional Vocational Technical-Gr Lawrence Regional Vocational Technical,08230605,         429,         406,  94.6
3.877894736842105,3.88,a-ovpe-i1,2021-22,Greater Lowell Regional Vocational Technical-Gr Lowell Regional Vocational Technical,08280605,         596,         549,  92.1
3.8442105263157895,3.84,a-ovpe-i1,2021-22,Greater New Bedford Regional Vocational Technical-Gr New Bedford Vocational Technical,08250605,         575,         525,  91.3
2.6610526315789476,2.66,a-ovpe-i1,2021-22,Greenfield-Greenfield High,01140505,         106,          67,  63.2
4.0336842105263155,4.03,a-ovpe-i1,2021-22,Groton-Dunstable-Groton Dunstable Regional,06730505,         167,         160,  95.8
3.928421052631579,3.93,a-ovpe-i1,2021-22,Hadley-Hopkins Academy,01170505,          45,          42,  93.3
4.134736842105263,4.13,a-ovpe-i1,2021-22,Hamilton-Wenham-Hamilton-Wenham Regional High,06750505,         113,         111,  98.2
