Raw likert calculation,Likert Score,Admin Data Item,Academic Year,Teachers of color (%),School Name,DESE ID,African American (%),Asian (%),Hispanic (%),White (%),Native American (%),Native Hawaiian Pacific Islander (%),Multi-Race Non-Hispanic (%),Females (%),Males (%),FTE Count
4.4,4.4,"",2022-23,4.4,Amesbury - Amesbury High,00070505,   0.0,   0.0,   4.4,  95.6,   0.0,   0.0,   0.0,  71.4,  28.6,         45.4
0.0,1,"",2022-23,0.0,Amesbury - Amesbury Innovation High School,00070515,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0,   5.7,  94.3,          4.6
2.1,2.1,"",2022-23,2.1,Amesbury - Amesbury Middle,00070013,   0.0,   0.0,   2.1,  97.9,   0.0,   0.0,   0.0,  71.6,  28.4,         47.8
0.0,1,"",2022-23,0.0,Amesbury - Charles C Cashman Elementary,00070010,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0,  94.6,   5.4,         23.5
7.0,5,"",2022-23,7.0,Amherst - Crocker Farm Elementary,00080009,   0.0,   7.0,   0.0,  93.0,   0.0,   0.0,   0.0,  77.8,  22.2,         25.9
32.6,5,"",2022-23,32.6,Amherst - Fort River Elementary,00080020,   4.0,   8.0,  20.6,  67.4,   0.0,   0.0,   0.0,  66.0,  34.0,         25.0
37.800000000000004,5,"",2022-23,37.800000000000004,Amherst - Wildwood Elementary,00080050,  21.0,   4.2,   8.4,  62.3,   0.0,   0.0,   4.2,  73.5,  26.5,         23.9
17.700000000000003,5,"",2022-23,17.700000000000003,Amherst-Pelham - Amherst Regional High,06050505,   7.6,   2.2,   7.3,  82.3,   0.0,   0.0,   0.6,  46.3,  53.7,         68.8
36.599999999999994,5,"",2022-23,36.599999999999994,Amherst-Pelham - Amherst Regional Middle School,06050405,  23.4,   4.0,   7.8,  63.4,   0.0,   0.0,   1.4,  56.9,  43.1,         42.8
12.6,5,"",2022-23,12.6,Andover - Andover High,00090505,   1.9,   2.9,   5.8,  87.4,   0.0,   1.0,   1.0,  67.4,  32.6,        103.3
2.8,2.8,"",2022-23,2.8,Andover - Andover West Middle,00090310,   0.0,   0.0,   0.0,  97.2,   0.0,   0.0,   2.8,  83.4,  16.6,         36.2
0.0,1,"",2022-23,0.0,Andover - Bancroft Elementary,00090003,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0,  85.4,  14.6,         30.3
11.5,5,"",2022-23,11.5,Andover - Doherty Middle,00090305,   0.0,   2.9,   5.7,  88.5,   2.9,   0.0,   0.0,  74.2,  25.8,         34.8
0.0,1,"",2022-23,0.0,Andover - Henry C Sanborn Elementary,00090010,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0,  94.7,   5.3,         20.4
4.2,4.2,"",2022-23,4.2,Andover - High Plain Elementary,00090004,   0.0,   0.0,   4.2,  95.8,   0.0,   0.0,   0.0,  95.8,   4.2,         29.5
12.5,5,"",2022-23,12.5,Andover - Shawsheen School,00090005,   0.0,   0.0,  12.5,  87.5,   0.0,   0.0,   0.0, 100.0,   0.0,          8.0
0.0,1,"",2022-23,0.0,Andover - South Elementary,00090020,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0,  91.9,   8.1,         25.7
