Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
4.5600000000000005,4.56,a-reso-i1,2022-23,Andover - Andover West Middle,00090310,     328,  17.2,        524,  51.5,  47.9,   2.9,  20.4,13.4
3.8,3.8,a-reso-i1,2022-23,Andover - Bancroft Elementary,00090003,     182,  21.0,        547,  50.6,  49.2,   2.6,  21.4,8.4
4.68,4.68,a-reso-i1,2022-23,Andover - Doherty Middle,00090305,     298,  16.6,        464,  49.4,  50.4,   0.2,  16.8,9.1
4.14,4.14,a-reso-i1,2022-23,Andover - Henry C Sanborn Elementary,00090010,     126,  19.3,        347,  45.8,  54.2,  10.1,   8.9,11.8
3.7,3.7,a-reso-i1,2022-23,Andover - High Plain Elementary,00090004,     175,  21.5,        537,  49.4,  50.7,  11.2,  16.6,12.5
5.9399999999999995,5,a-reso-i1,2022-23,Andover - Shawsheen School,00090005,      12,  10.3,        124,  35.5,  64.5,   0.8,  57.3,25
4.04,4.04,a-reso-i1,2022-23,Andover - South Elementary,00090020,     161,  19.8,        455,  45.3,  54.7,   1.3,  14.1,5.3
4.0,4.0,a-reso-i1,2022-23,Andover - West Elementary,00090025,     196,  20.0,        560,  46.3,  53.8,   5.5,  27.1,13.6
4.88,4.88,a-reso-i1,2022-23,Andover - Wood Hill Middle School,00090350,     227,  15.6,        346,  46.0,  54.1,   2.0,  17.3,12.4
4.76,4.76,a-reso-i1,2022-23,Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,     360,  16.2,        543,  44.6,  55.4,  22.1,  25.1,74.2
5.24,5,a-reso-i1,2022-23,Arlington - Arlington High,00100505,     997,  13.8,"      1,540",  50.4,  47.6,   1.7,  13.5,11.1
4.26,4.26,a-reso-i1,2022-23,Arlington - Brackett,00100010,     162,  18.7,        420,  46.7,  53.3,   5.2,  16.0,3.3
4.32,4.32,a-reso-i1,2022-23,Arlington - Cyrus E Dallin,00100025,     164,  18.4,        416,  51.4,  48.3,   4.3,  11.3,7.5
4.18,4.18,a-reso-i1,2022-23,Arlington - Gibbs School,00100305,     320,  19.1,        514,  46.9,  52.7,   3.9,  19.5,11.7
4.0200000000000005,4.02,a-reso-i1,2022-23,Arlington - Hardy,00100030,     143,  19.9,        392,  49.2,  50.5,   8.9,  19.9,12.8
3.7399999999999998,3.74,a-reso-i1,2022-23,Arlington - John A Bishop,00100005,     136,  21.3,        397,  47.4,  52.6,   9.3,  12.6,6.1
3.9,3.9,a-reso-i1,2022-23,Arlington - M Norcross Stratton,00100055,     156,  20.5,        443,  49.9,  49.9,   9.5,  17.2,10.4
5.14,5,a-reso-i1,2022-23,Arlington - Menotomy Preschool,00100038,       7,  14.3,        100,  37.0,  63.0,   0.0,  51.0,20
4.42,4.42,a-reso-i1,2022-23,Arlington - Ottoson Middle,00100410,     579,  17.9,        933,  49.0,  50.1,   3.3,  22.0,10
3.9200000000000004,3.92,a-reso-i1,2022-23,Arlington - Peirce,00100045,     128,  20.4,        361,  46.8,  52.6,   8.0,  13.0,10.5
3.62,3.62,a-reso-i1,2022-23,Arlington - Thompson,00100050,     170,  21.9,        515,  53.4,  46.2,   8.0,  16.5,21.8
4.08,4.08,a-reso-i1,2022-23,Ashburnham-Westminster - Briggs Elementary,06100025,     269,  19.6,        520,  51.2,  48.9,   4.8,  22.7,28.5
4.779999999999999,4.78,a-reso-i1,2022-23,Ashburnham-Westminster - Meetinghouse School,06100010,     105,  16.1,        199,  50.3,  49.8,   4.0,   9.1,24.6
4.82,4.82,a-reso-i1,2022-23,Ashburnham-Westminster - Oakmont Regional High School,06100505,     338,  15.9,        654,  46.5,  52.0,   0.2,  16.1,22.5
3.88,3.88,a-reso-i1,2022-23,Ashburnham-Westminster - Overlook Middle School,06100305,     332,  20.6,        540,  48.5,  50.4,   0.0,  14.1,25.2
4.0,4.0,a-reso-i1,2022-23,Ashburnham-Westminster - Westminster Elementary,06100005,     219,  20.0,        387,  50.4,  49.6,   1.3,  19.9,21.2
4.62,4.62,a-reso-i1,2022-23,Ashland - Ashland High,00140505,     437,  16.9,        861,  49.8,  50.1,   7.2,  14.6,23.2
3.96,3.96,a-reso-i1,2022-23,Ashland - Ashland Middle,00140405,     386,  20.2,        700,  48.6,  51.3,   5.4,  20.0,24.3
