Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,Students,Students Disciplined,% In-School Suspension,% Out-of-School Suspension,% Expulsion,% Removed to Alternate Setting,% Emergency Removal,% Students with a School-Based Arrest,% Students with a Law Enforcement Referral
NA,NA,a-phys-i1,2021-22,Andover - Shawsheen School,00090005,     117,       0,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Andover - South Elementary,00090020,     447,       0,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Andover - West Elementary,00090025,     559,       0,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Andover - Wood Hill Middle School,00090350,     376,       2,"","","","","","",""
-3.6888045540796974,1,a-phys-i1,2021-22,Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,     577,     170,  22.7,  15.4,   0.5,   0.0,   4.9,   0.0,   0.0
7.468690702087287,5,a-phys-i1,2021-22,Arlington - Arlington High,00100505,"   1,523",      28,   1.2,   0.7,   0.0,   0.0,   0.5,   0.0,   0.0
NA,NA,a-phys-i1,2021-22,Arlington - Brackett,00100010,     450,       0,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Arlington - Cyrus E Dallin,00100025,     440,       0,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Arlington - Gibbs School,00100305,     464,       5,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Arlington - Hardy,00100030,     428,       1,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Arlington - John A Bishop,00100005,     405,       0,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Arlington - M Norcross Stratton,00100055,     465,       0,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Arlington - Menotomy Preschool,00100038,     100,       0,"","","","","","",""
6.633776091081593,5,a-phys-i1,2021-22,Arlington - Ottoson Middle,00100410,     926,      28,   1.9,   1.8,   0.0,   0.0,   0.1,   0.0,   0.0
NA,NA,a-phys-i1,2021-22,Arlington - Peirce,00100045,     340,       0,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Arlington - Thompson,00100050,     526,       0,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Ashburnham-Westminster - Briggs Elementary,06100025,     557,       0,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Ashburnham-Westminster - Meetinghouse School,06100010,     171,       0,"","","","","","",""
5.874762808349146,5,a-phys-i1,2021-22,Ashburnham-Westminster - Oakmont Regional High School,06100505,     639,      56,   8.0,   2.8,   0.0,   0.0,   0.0,   0.0,   0.0
6.861480075901328,5,a-phys-i1,2021-22,Ashburnham-Westminster - Overlook Middle School,06100305,     583,      17,   2.1,   1.5,   0.0,   0.0,   0.0,   0.0,   0.0
NA,NA,a-phys-i1,2021-22,Ashburnham-Westminster - Westminster Elementary,06100005,     389,       0,"","","","","","",""
5.191650853889943,5,a-phys-i1,2021-22,Ashland - Ashland High,00140505,     844,      45,   2.6,   3.7,   0.0,   0.0,   0.0,   0.0,   0.0
6.633776091081593,5,a-phys-i1,2021-22,Ashland - Ashland Middle,00140405,     719,      22,   1.7,   1.8,   0.0,   0.0,   0.0,   0.0,   0.0
NA,NA,a-phys-i1,2021-22,Ashland - David Mindess,00140015,     674,       1,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Ashland - Henry E Warren Elementary,00140010,     685,       0,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Ashland - William Pittaway Elementary,00140005,      88,       0,"","","","","","",""
4.053130929791271,4.05,a-phys-i1,2021-22,Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,08010605,"   1,145",      59,   0.0,   5.2,   0.0,   0.0,   0.0,   0.0,   0.0
NA,NA,a-phys-i1,2021-22,Athol-Royalston - Athol Community Elementary School,06150020,     635,       1,"","","","","","",""
-1.6394686907020875,1,a-phys-i1,2021-22,Athol-Royalston - Athol High,06150505,     401,      68,  16.0,  12.7,   0.0,   0.0,   0.0,   0.0,   0.0
0.6375711574952561,1,a-phys-i1,2021-22,Athol-Royalston - Athol-Royalston Middle School,06150305,     474,      59,   5.3,   9.7,   0.0,   0.0,   0.0,   0.0,   0.0
NA,NA,a-phys-i1,2021-22,Athol-Royalston - Royalston Community School,06150050,     147,       0,"","","","","","",""
6.40607210626186,5,a-phys-i1,2021-22,Atlantis Charter (District) - Atlantis Charter School,04910550,"   1,316",     136,  10.0,   2.1,   0.2,   0.0,   0.5,   0.0,   0.0
NA,NA,a-phys-i1,2021-22,Attleboro - A. Irvin Studley Elementary School,00160001,     369,       0,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Attleboro - Attleboro Community Academy,00160515,     103,       0,"","","","","","",""
5.419354838709677,5,a-phys-i1,2021-22,Attleboro - Attleboro High,00160505,"   1,829",     170,   5.4,   3.4,   0.0,   0.0,   5.1,   0.0,   0.0
NA,NA,a-phys-i1,2021-22,Attleboro - Attleboro Virtual Academy,00160705,      65,       0,"","","","","","",""
1.3206831119544582,1.32,a-phys-i1,2021-22,Attleboro - Cyril K. Brennan Middle School,00160315,     650,      77,   5.2,   8.8,   0.0,   0.0,   0.3,   0.0,   0.0
NA,NA,a-phys-i1,2021-22,Attleboro - Early Learning Center,00160008,     221,       0,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Attleboro - Hill-Roberts Elementary School,00160045,     418,       2,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Attleboro - Hyman Fine Elementary School,00160040,     476,       0,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Attleboro - Peter Thacher Elementary School,00160050,     485,       0,"","","","","","",""
