Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,4 Year Private College,4 Year Public College,2 Year Private College,2 Year Public College,Other Post Secondary,Apprenticeship,Work,Military,Other,Unknown,Total
5.269333333333333,5,a-cgpr-i1,2016-17,Blackstone Valley Regional Vocational Technical - Blackstone Valley,08050605,  28.3,  42.0,   1.0,  11.5,   0.3,"",  15.7,   1.0,   0.0,   0.0,     286
5.0026666666666655,5,a-cgpr-i1,2016-17,Blackstone-Millville - Blackstone Millville RHS,06220505,  36.8,  29.8,   0.0,  15.8,   1.8,"",   9.6,   3.5,   0.0,   2.6,     114
4.912,4.91,a-cgpr-i1,2016-17,Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,08060605,  19.9,  28.7,   1.4,  20.8,   1.9,"",  19.4,   2.8,   1.9,   3.2,     216
5.12,5,a-cgpr-i1,2016-17,Boston - Another Course To College,00350541,  26.0,  52.0,   0.0,  16.0,   0.0,"",   2.0,   0.0,   0.0,   4.0,      50
2.453333333333333,2.45,a-cgpr-i1,2016-17,Boston - Boston Adult Academy,00350548,   2.0,  18.0,   2.0,  18.0,   2.0,"",   4.0,   0.0,   0.0,  54.0,      50
5.087999999999999,5,a-cgpr-i1,2016-17,Boston - Boston Arts Academy,00350546,  29.9,  36.8,   0.0,  21.8,   0.0,"",   6.9,   0.0,   1.1,   3.4,      87
0.30399999999999994,1,a-cgpr-i1,2016-17,Boston - Boston Collaborative High School,00350755,   1.4,   0.0,   0.0,   2.9,   0.0,"",   1.4,   0.0,   0.0,  94.3,      70
4.906666666666666,4.91,a-cgpr-i1,2016-17,Boston - Boston Community Leadership Academy,00350558,  20.5,  50.9,   0.0,  14.3,   1.8,"",   4.5,   0.0,   0.9,   7.1,     112
4.8693333333333335,4.87,a-cgpr-i1,2016-17,Boston - Boston International High School,00350507,   3.4,  55.2,   1.7,  20.7,   3.4,"",   6.9,   0.0,   0.0,   8.6,      58
5.008,5,a-cgpr-i1,2016-17,Boston - Boston Latin,00350560,  39.7,  53.1,   0.0,   0.5,   0.3,"",   0.3,   0.0,   0.5,   5.6,     375
4.970666666666667,4.97,a-cgpr-i1,2016-17,Boston - Boston Latin Academy,00350545,  34.2,  55.6,   0.4,   2.6,   0.0,"",   0.4,   0.8,   0.4,   5.3,     266
2.6133333333333333,2.61,a-cgpr-i1,2016-17,Boston - Brighton High,00350505,   8.1,  21.7,   0.6,  14.9,   0.0,"",   3.7,   0.6,   0.0,  50.3,     161
3.226666666666667,3.23,a-cgpr-i1,2016-17,Boston - Charlestown High,00350515,  11.1,  29.9,   1.4,  11.8,   2.1,"",   4.2,   0.0,   0.0,  38.9,     144
2.9119999999999995,2.91,a-cgpr-i1,2016-17,Boston - Community Academy,00350518,   0.0,   0.0,   9.1,  27.3,   0.0,"",  18.2,   0.0,   0.0,  45.5,      11
4.437333333333333,4.44,a-cgpr-i1,2016-17,Boston - Community Academy of Science and Health,00350581,   7.8,  35.1,   2.6,  29.9,   2.6,"",   5.2,   1.3,   0.0,  15.6,      77
3.3386666666666662,3.34,a-cgpr-i1,2016-17,Boston - Dearborn,00350074,  18.8,  25.0,   0.0,  18.8,   0.0,"",   0.0,   0.0,   0.0,  37.5,      16
3.6479999999999997,3.65,a-cgpr-i1,2016-17,Boston - Dorchester Academy,00350651,   5.3,   0.0,   0.0,  36.8,   0.0,"",  26.3,   5.3,   5.3,  21.1,      19
5.056,5,a-cgpr-i1,2016-17,Boston - Dr. William Henderson Upper,00350426,   5.3,  52.6,   5.3,  26.3,   0.0,"",   5.3,   0.0,   5.3,   0.0,      19
4.282666666666667,4.28,a-cgpr-i1,2016-17,Boston - East Boston High,00350530,   6.9,  33.9,   0.7,  23.7,   3.3,"",  11.8,   3.3,   1.3,  13.8,     304
4.197333333333333,4.2,a-cgpr-i1,2016-17,Boston - Excel High School,00350522,  11.9,  38.1,   0.8,  20.3,   2.5,"",   5.1,   2.5,   0.0,  18.6,     118
4.410666666666667,4.41,a-cgpr-i1,2016-17,Boston - Fenway High School,00350540,  21.3,  42.7,   0.0,  14.7,   2.7,"",   1.3,   0.0,   0.0,  17.3,      75
1.9733333333333334,1.97,a-cgpr-i1,2016-17,Boston - Greater Egleston Community High School,00350543,   1.8,   5.3,   1.8,  19.3,   1.8,"",   7.0,   0.0,   0.0,  63.2,      57
0.0,1,a-cgpr-i1,2016-17,Boston - Horace Mann School for the Deaf,00350750,"","","","","","","","","","",       4
4.426666666666666,4.43,a-cgpr-i1,2016-17,Boston - Jeremiah E Burke High,00350525,  10.1,  25.6,   3.9,  31.0,   3.1,"",   9.3,   1.6,   1.6,  14.0,     129
3.3013333333333335,3.3,a-cgpr-i1,2016-17,Boston - Lyon Upper 9-12,00350655,  10.3,  24.1,   3.4,  13.8,   3.4,"",   6.9,   0.0,   3.4,  34.5,      29
4.357333333333333,4.36,a-cgpr-i1,2016-17,Boston - Madison Park High,00350537,  10.2,  25.9,   0.0,  27.2,   7.5,"",  10.9,   0.7,   0.0,  17.7,     147
3.9786666666666672,3.98,a-cgpr-i1,2016-17,Boston - Margarita Muniz Academy,00350549,  15.3,  35.6,   0.0,  18.6,   3.4,"",   1.7,   0.0,   1.7,  23.7,      59
4.405333333333334,4.41,a-cgpr-i1,2016-17,Boston - New Mission High School,00350542,  11.1,  58.0,   0.0,   7.4,   4.9,"",   1.2,   0.0,   1.2,  16.0,      81
4.597333333333332,4.6,a-cgpr-i1,2016-17,Boston - O'Bryant School Math/Science,00350575,  23.3,  51.2,   0.8,   7.0,   1.6,"",   2.3,   0.4,   0.0,  13.6,     258
4.784,4.78,a-cgpr-i1,2016-17,Boston - Quincy Upper School,00350565,  14.3,  59.2,   0.0,  12.2,   2.0,"",   2.0,   0.0,   0.0,  10.2,      49
4.277333333333334,4.28,a-cgpr-i1,2016-17,Boston - Snowden International School at Copley,00350690,  11.3,  40.8,   4.2,  21.1,   1.4,"",   1.4,   1.4,   1.4,  16.9,      71
1.6053333333333335,1.61,a-cgpr-i1,2016-17,Boston - TechBoston Academy,00350657,   4.1,  16.3,   0.0,   7.3,   0.8,"",   1.6,   0.0,   0.0,  69.9,     123
3.1466666666666665,3.15,a-cgpr-i1,2016-17,Boston - The English High,00350535,   7.7,  27.4,   0.0,  15.4,   1.7,"",   6.8,   0.9,   0.9,  39.3,     117
4.1386666666666665,4.14,a-cgpr-i1,2016-17,Boston - Urban Science Academy,00350579,  18.4,  23.7,   1.3,  23.7,   2.6,"",   7.9,   0.0,   0.0,  22.4,      76
4.090666666666667,4.09,a-cgpr-i1,2016-17,Boston - West Roxbury Academy,00350658,  14.6,  32.0,   2.9,  19.4,   2.9,"",   4.9,   1.9,   1.0,  20.4,     103
2.6666666666666665,2.67,a-cgpr-i1,2016-17,Boston - William McKinley,00350363,   6.7,   6.7,   0.0,  13.3,   0.0,"",  23.3,   0.0,   0.0,  50.0,      30
4.848,4.85,a-cgpr-i1,2016-17,Boston Collegiate Charter (District) - Boston Collegiate Charter School,04490305,  36.4,  43.9,   0.0,  10.6,   0.0,"",   0.0,   6.1,   3.0,   0.0,      66
