Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,# Grade 11 and 12 Students,# Students Completing Advanced,% Students Completing Advanced,% ELA,% Math,% Science and Technology,% Computer and Information Science,% History and Social Sciences,% Arts,% All Other Subjects,Ch 74 Secondary Cooperative Program
-5.860016420361248,1,a-curv-i7,2024-25,Berkshire Hills-Monument Mt Regional High,06180505,         244,         134,  54.9,  27.9,  37.7,  27.5,   6.6,   8.6,   2.9,   7.8,   0.0
-1.232993197278911,1,a-curv-i7,2024-25,Berlin-Boylston-Tahanto Regional High,06200505,         131,          92,  70.2,  37.4,  59.5,  18.3,   7.6,  35.1,   1.5,   3.8,   0.0
-8.694196428571427,1,a-curv-i7,2024-25,Beverly-Beverly High,00300505,         596,         377,  63.3,  15.6,  44.1,  18.0,   0.7,  19.5,   4.2,  24.0,   0.0
-7.28513356562137,1,a-curv-i7,2024-25,Billerica-Billerica Memorial High School,00310505,         596,         501,  84.1,  20.3,  73.2,  39.8,  24.5,  19.6,   0.0,   6.4,   0.0
-14.143264143264144,1,a-curv-i7,2024-25,Blackstone Valley Regional Vocational Technical-Blackstone Valley,08050605,         615,         418,  68.0,  14.8,  48.1,  19.7,   1.3,  17.9,   0.3,   1.0,  34.5
-6.220238095238095,1,a-curv-i7,2024-25,Blackstone-Millville-Blackstone Millville RHS,06220505,         194,         140,  72.2,  22.2,  58.8,  23.7,   0.0,   6.2,   1.5,   0.0,   0.0
-2.1664521664521663,1,a-curv-i7,2024-25,Blue Hills Regional Vocational Technical-Blue Hills Regional Vocational Technical,08060605,         438,         290,  66.2,   9.6,  54.6,  27.9,   0.0,   6.2,   0.0,   0.0,  23.3
2.750410509031199,2.75,a-curv-i7,2024-25,Boston Collegiate Charter (District)-Boston Collegiate Charter School,04490305,         145,         138,  95.2,  25.5,  89.7,  56.6,  18.6,  32.4,  15.2,   4.1,   0.0
0.16693024073097873,1,a-curv-i7,2024-25,Boston Day and Evening Academy Charter (District)-Boston Day and Evening Academy Charter School,04240505,         278,          21,   7.6,   0.0,   0.0,   7.6,   0.0,   0.0,   0.0,   0.0,   0.0
3.313316477033291,3.31,a-curv-i7,2024-25,Boston Green Academy Horace Mann Charter School (District)-Boston Green Academy Horace Mann Charter School,04110305,         122,          84,  68.9,  29.5,  45.1,  46.7,   0.0,  30.3,   0.0,   0.0,   0.0
3.0550774526678137,3.06,a-curv-i7,2024-25,Boston Preparatory Charter Public (District)-Boston Preparatory Charter Public School,04160305,         169,         144,  85.2,  34.3,  74.6,  47.9,   0.0,  26.6,   4.1,   9.5,   0.0
1.5244559362206422,1.52,a-curv-i7,2024-25,Boston-Albert D Holland School of Technology,00350525,         226,         128,  56.6,  22.1,  50.4,   5.3,   2.2,  14.2,   0.0,   1.8,   0.0
3.7373145979703355,3.74,a-curv-i7,2024-25,Boston-Another Course To College,00350541,         124,          95,  76.6,   7.3,  56.5,  34.7,  31.5,  42.7,   9.7,   5.6,   0.0
