Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total
NA,NA,"",2016-17,Boston - Community Academy of Science and Health,00350581,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      87,      76,     116,      63,      23,     365
NA,NA,"",2016-17,Boston - Curley K-8 School,00350020,     106,      89,      87,      82,     110,     120,      90,     109,      70,      85,       0,       0,       0,       0,       0,     948
NA,NA,"",2016-17,Boston - Curtis Guild,00350062,      29,      34,      33,      53,      54,      68,      38,       0,       0,       0,       0,       0,       0,       0,       0,     309
NA,NA,"",2016-17,Boston - Dante Alighieri Montessori School,00350066,      28,      14,      13,      16,      10,       7,       4,       4,       0,       0,       0,       0,       0,       0,       0,      96
NA,NA,"",2016-17,Boston - David A Ellis,00350072,      43,      81,      78,      73,      59,      60,      44,       0,       0,       0,       0,       0,       0,       0,       0,     438
NA,NA,"",2016-17,Boston - Dearborn,00350074,       0,       0,       0,       0,       0,       0,       0,      58,      52,      53,      48,      39,      40,      19,       0,     309
NA,NA,"",2016-17,Boston - Dennis C Haley,00350077,      25,      38,      40,      44,      47,      71,      48,      46,      42,      51,       0,       0,       0,       0,       0,     452
NA,NA,"",2016-17,Boston - Donald Mckay,00350080,      19,      59,      68,      85,      73,      88,      69,     103,      76,      92,       0,       0,       0,       0,       0,     732
NA,NA,"",2016-17,Boston - Dorchester Academy,00350651,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      40,      18,      12,      29,       0,      99
NA,NA,"",2016-17,Boston - Dr. Catherine Ellison-Rosa Parks Early Ed School,00350008,      44,      38,      39,      35,      33,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     189
NA,NA,"",2016-17,Boston - Dr. William Henderson Lower,00350266,      74,      46,      49,      48,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     217
NA,NA,"",2016-17,Boston - East Boston Early Childhood Center,00350009,      51,      65,      54,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     170
NA,NA,"",2016-17,Boston - East Boston High,00350530,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     365,     393,     368,     354,      16,"   1,496"
NA,NA,"",2016-17,Boston - Edison K-8,00350375,      20,      53,      53,      85,      77,      73,      82,      85,      73,      87,       0,       0,       0,       0,       0,     688
NA,NA,"",2016-17,Boston - Edward Everett,00350088,      17,      39,      38,      40,      50,      50,      44,       0,       0,       0,       0,       0,       0,       0,       0,     278
NA,NA,"",2016-17,Boston - ELC - West Zone,00350006,      46,      37,      31,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     114
NA,NA,"",2016-17,Boston - Eliot Elementary,00350096,      38,      77,      77,      85,      65,      71,      44,      48,      26,      27,       0,       0,       0,       0,       0,     558
NA,NA,"",2016-17,Boston - Ellis Mendell,00350100,      24,      41,      41,      41,      39,      35,      23,       0,       0,       0,       0,       0,       0,       0,       0,     244
NA,NA,"",2016-17,Boston - Excel High School,00350522,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     134,     120,     160,     110,       1,     525
NA,NA,"",2016-17,Boston - Fenway High School,00350540,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     107,      96,      76,      81,       0,     360
NA,NA,"",2016-17,Boston - Franklin D Roosevelt,00350116,      41,      40,      42,      40,      44,      47,      44,      54,      48,      53,       0,       0,       0,       0,       0,     453
NA,NA,"",2016-17,Boston - Gardner Pilot Academy,00350326,      25,      45,      38,      44,      37,      43,      46,      49,      39,      35,       0,       0,       0,       0,       0,     401
NA,NA,"",2016-17,Boston - George H Conley,00350122,      19,      23,      45,      27,      53,      25,      30,       0,       0,       0,       0,       0,       0,       0,       0,     222
NA,NA,"",2016-17,Boston - Greater Egleston Community High School,00350543,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       2,      18,      41,     163,       1,     225
NA,NA,"",2016-17,Boston - Harvard-Kent,00350200,      38,      54,      58,      77,     108,      94,      66,       0,       0,       0,       0,       0,       0,       0,       0,     495
