Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded
2.325,2.33,a-degr-i1,2021-22,Boston - Boston Adult Tech Academy,00350548,        71,    46.5,    42.3,     0.0,     0.0,    11.3,     0.0
4.7299999999999995,4.73,a-degr-i1,2021-22,Boston - Boston Arts Academy,00350546,       112,    94.6,     3.6,     0.0,     0.0,     1.8,     0.0
0.835,1,a-degr-i1,2021-22,Boston - Boston Collaborative High School,00350755,        78,    16.7,    65.4,     0.0,     0.0,    17.9,     0.0
4.37,4.37,a-degr-i1,2021-22,Boston - Boston Community Leadership Academy,00350558,       119,    87.4,     7.6,     0.0,     0.8,     3.4,     0.8
2.62,2.62,a-degr-i1,2021-22,Boston - Boston International High School & Newcomers Academy,00350507,       103,    52.4,    35.0,     0.0,     0.0,    12.6,     0.0
4.86,4.86,a-degr-i1,2021-22,Boston - Boston Latin Academy,00350545,       247,    97.2,     1.6,     0.0,     0.8,     0.4,     0.0
4.92,4.92,a-degr-i1,2021-22,Boston - Boston Latin School,00350560,       366,    98.4,     0.8,     0.0,     0.3,     0.5,     0.0
3.415,3.42,a-degr-i1,2021-22,Boston - Brighton High School,00350505,       123,    68.3,    20.3,     0.0,     0.0,    11.4,     0.0
3.6350000000000002,3.64,a-degr-i1,2021-22,Boston - Burke High School,00350525,       110,    72.7,     9.1,     0.0,     1.8,    16.4,     0.0
3.16,3.16,a-degr-i1,2021-22,Boston - Charlestown High School,00350515,       185,    63.2,    22.2,     0.0,     1.6,    13.0,     0.0
1.47,1.47,a-degr-i1,2021-22,Boston - Community Academy,00350518,        17,    29.4,    29.4,     0.0,     0.0,    41.2,     0.0
3.17,3.17,a-degr-i1,2021-22,Boston - Community Academy of Science and Health,00350581,        71,    63.4,    23.9,     0.0,     0.0,    12.7,     0.0
4.495,4.5,a-degr-i1,2021-22,Boston - Dearborn 6-12 STEM Academy,00350074,        79,    89.9,     6.3,     0.0,     0.0,     3.8,     0.0
4.68,4.68,a-degr-i1,2021-22,Boston - East Boston High School,00350530,       311,    93.6,     4.2,     0.0,     0.0,     2.3,     0.0
4.05,4.05,a-degr-i1,2021-22,Boston - English High School,00350535,       158,    81.0,    10.1,     0.0,     0.6,     8.2,     0.0
3.7049999999999996,3.7,a-degr-i1,2021-22,Boston - Excel High School,00350522,       116,    74.1,    19.0,     0.0,     0.9,     6.0,     0.0
4.6450000000000005,4.65,a-degr-i1,2021-22,Boston - Fenway High School,00350540,        84,    92.9,     4.8,     0.0,     0.0,     2.4,     0.0
1.95,1.95,a-degr-i1,2021-22,Boston - Greater Egleston High School,00350543,        59,    39.0,    39.0,     0.0,     1.7,    20.3,     0.0
4.3100000000000005,4.31,a-degr-i1,2021-22,Boston - Henderson K-12 Inclusion School Upper,00350426,        65,    86.2,     6.2,     0.0,     3.1,     4.6,     0.0
3.335,3.34,a-degr-i1,2021-22,Boston - Horace Mann School for the Deaf Hard of Hearing,00350750,         6,    66.7,    33.3,     0.0,     0.0,     0.0,     0.0
4.39,4.39,a-degr-i1,2021-22,Boston - Lyon High School,00350655,        41,    87.8,     2.4,     0.0,     0.0,     9.8,     0.0
4.0200000000000005,4.02,a-degr-i1,2021-22,Boston - Madison Park Technical Vocational High School,00350537,       194,    80.4,    10.8,     0.0,     1.0,     7.2,     0.5
