Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded
4.409411764705882,4.41,a-degr-i3,2020-21,Boston - Another Course To College,00350541,        63,    93.7,     0.0,     1.6,     1.6,     3.2,     0.0
2.837647058823529,2.84,a-degr-i3,2020-21,Boston - Boston Adult Academy,00350548,        63,    60.3,     3.2,    11.1,     0.0,    25.4,     0.0
4.27764705882353,4.28,a-degr-i3,2020-21,Boston - Boston Arts Academy,00350546,        99,    90.9,     1.0,     1.0,     0.0,     7.1,     0.0
1.2188235294117646,1.22,a-degr-i3,2020-21,Boston - Boston Collaborative High School,00350755,        54,    25.9,    22.2,     3.7,     3.7,    44.4,     0.0
3.934117647058823,3.93,a-degr-i3,2020-21,Boston - Boston Community Leadership Academy,00350558,       110,    83.6,     7.3,     1.8,     0.9,     6.4,     0.0
3.308235294117647,3.31,a-degr-i3,2020-21,Boston - Boston International High School,00350507,       111,    70.3,     5.4,     8.1,     0.0,    16.2,     0.0
4.672941176470588,4.67,a-degr-i3,2020-21,Boston - Boston Latin,00350560,       411,    99.3,     0.0,     0.2,     0.0,     0.5,     0.0
4.621176470588235,4.62,a-degr-i3,2020-21,Boston - Boston Latin Academy,00350545,       332,    98.2,     0.0,     0.3,     0.3,     1.2,     0.0
3.6,3.6,a-degr-i3,2020-21,Boston - Brighton High,00350505,       132,    76.5,     6.8,     0.0,     0.0,    16.7,     0.0
2.9835294117647058,2.98,a-degr-i3,2020-21,Boston - Charlestown High,00350515,       205,    63.4,    12.7,     2.9,     1.5,    19.0,     0.5
3.068235294117647,3.07,a-degr-i3,2020-21,Boston - Community Academy,00350518,        23,    65.2,     0.0,     0.0,     4.3,    30.4,     0.0
3.4352941176470586,3.44,a-degr-i3,2020-21,Boston - Community Academy of Science and Health,00350581,       100,    73.0,    11.0,     3.0,     0.0,    13.0,     0.0
4.517647058823529,4.52,a-degr-i3,2020-21,Boston - Dearborn,00350074,        50,    96.0,     0.0,     0.0,     0.0,     4.0,     0.0
3.981176470588235,3.98,a-degr-i3,2020-21,Boston - Dr. William Henderson Upper,00350426,        65,    84.6,     9.2,     3.1,     0.0,     3.1,     0.0
4.207058823529412,4.21,a-degr-i3,2020-21,Boston - East Boston High,00350530,       284,    89.4,     1.8,     1.1,     0.0,     7.7,     0.0
3.816470588235294,3.82,a-degr-i3,2020-21,Boston - Excel High School,00350522,       143,    81.1,     4.9,     2.1,     2.1,     9.8,     0.0
4.315294117647059,4.32,a-degr-i3,2020-21,Boston - Fenway High School,00350540,        96,    91.7,     1.0,     1.0,     0.0,     6.3,     0.0
2.155294117647059,2.16,a-degr-i3,2020-21,Boston - Greater Egleston Community High School,00350543,        59,    45.8,    20.3,     5.1,     0.0,    28.8,     0.0
3.84,3.84,a-degr-i3,2020-21,Boston - Jeremiah E Burke High,00350525,       136,    81.6,     1.5,     6.6,     0.0,    10.3,     0.0
4.390588235294118,4.39,a-degr-i3,2020-21,Boston - Lyon Upper 9-12,00350655,        30,    93.3,     0.0,     0.0,     0.0,     6.7,     0.0
3.52,3.52,a-degr-i3,2020-21,Boston - Madison Park High,00350537,       210,    74.8,     8.1,     0.5,     0.0,    16.7,     0.0
4.0988235294117645,4.1,a-degr-i3,2020-21,Boston - Margarita Muniz Academy,00350549,        70,    87.1,     0.0,     1.4,     0.0,    11.4,     0.0
4.644705882352941,4.64,a-degr-i3,2020-21,Boston - New Mission High School,00350542,        75,    98.7,     0.0,     0.0,     0.0,     1.3,     0.0
4.705882352941177,4.71,a-degr-i3,2020-21,Boston - O'Bryant School Math/Science,00350575,       332,   100.0,     0.0,     0.0,     0.0,     0.0,     0.0
4.5458823529411765,4.55,a-degr-i3,2020-21,Boston - Quincy Upper School,00350565,        59,    96.6,     1.7,     0.0,     0.0,     1.7,     0.0
