RecordedDate,ResponseId,UserLanguage,District,school,dist & school concat,DESE ID,t-prep-q1,t-prep-q2,t-prep-q3,t-pcom-q1,t-pcom-q2,t-pcom-q3,t-pcom-q4,t-pcom-q5,t-ieff-q1,t-ieff-q2,t-ieff-q3,t-ieff-q4,t-qupd-q1,t-qupd-q2,t-qupd-q3,t-qupd-q4,t-coll-q1,t-coll-q2,t-coll-q3,t-prtr-q1,t-prtr-q2,t-prtr-q3,t-inle-q1,t-inle-q2,t-inle-q3,t-pvic-q1,t-pvic-q2,t-pvic-q3,t-psup-q1,t-psup-q2,t-psup-q3,t-psup-q4,t-acch-q1,t-acch-q2,t-acch-q3,t-reso-q1,t-reso-q2,t-reso-q3,t-reso-q4,t-reso-q5,t-sust-q1,t-sust-q2,t-sust-q3,t-sust-q4,t-curv-q1,t-curv-q2,t-curv-q3,t-curv-q4,t-cure-q1,t-cure-q2,t-cure-q3,t-cure-q4,t-peng-q1,t-peng-q2,t-peng-q3,t-peng-q4,t-ceng-q1,t-ceng-q2,t-ceng-q3,t-ceng-q4,t-sach-q1,t-sach-q2,t-sach-q3,t-psol-q1,t-psol-q2,t-psol-q3,t-expa-q2,t-expa-q3,t-phya-q2,t-phya-q3
2020-03-11T12:22:0,R_Z4tCvrOb9BsRmbT,EN,3,4,34,01600315,5,5,5,2,4,4,3,2,4,4,5,3,2,1,3,2,3,4,2,3,3,3,2,2,4,3,3,3,4,4,4,4,3,4,3,1,1,2,2,2,3,1,1,3,5,4,4,3,1,2,2,4,5,2,2,2,3,4,1,2,4,2,2,4,4,3,1,1,3,3
2020-03-11T12:15:0,R_2wh2ww97UnatyNP,EN,3,4,34,01600315,4,2,4,3,3,5,3,1,4,3,4,4,2,3,4,3,3,1,3,5,3,4,5,4,5,4,4,4,3,3,4,3,3,4,2,3,3,3,3,4,4,3,4,4,4,4,4,4,4,4,3,5,4,3,2,2,3,3,2,3,3,3,3,2,4,3,4,4,2,2
2020-03-11T12:18:0,R_21zgVBj9Mbvag5d,EN,3,4,34,01600315,5,5,5,4,4,5,3,3,5,5,5,4,4,4,4,4,5,3,5,5,5,4,4,4,5,5,5,4,5,4,5,4,4,4,4,3,3,4,3,3,5,1,4,3,5,4,4,1,4,4,5,5,5,3,3,1,3,3,3,3,5,4,3,4,4,5,1,4,2,2
2020-03-11T11:8:0,R_XuppXJJ6mBAUQ9j,EN,3,4,34,01600315,4,5,5,4,4,5,3,1,5,5,5,3,1,1,1,1,2,2,4,3,2,2,2,2,3,3,3,4,4,4,4,4,4,3,3,2,1,2,3,3,3,1,2,3,3,3,5,2,2,2,5,2,2,2,1,1,4,4,1,3,4,3,3,3,3,4,2,3,2,3
2020-03-11T12:21:0,R_3G0s1vL8e5BCjSd,EN,3,4,34,01600315,4,5,5,2,2,5,2,2,5,3,4,4,1,2,2,2,3,1,3,4,3,2,3,3,3,4,4,5,4,4,5,4,1,4,1,2,2,3,1,1,2,1,2,2,4,5,4,4,3,2,2,2,5,2,2,2,4,1,3,1,3,3,3,3,4,5,1,1,2,3
2020-03-11T12:24:0,R_3J2Hi14JQSZf2E0,EN,3,4,34,01600315,4,4,3,2,2,3,3,2,3,3,2,4,2,4,4,3,4,2,5,4,3,5,4,4,4,3,3,4,3,3,4,3,5,4,3,2,2,3,1,5,4,1,2,2,5,3,3,3,4,3,3,4,3,2,2,1,5,4,3,3,4,1,2,3,3,3,1,2,2,2
2020-03-11T12:32:0,R_RmYxaIcTjxFzkiJ,EN,3,4,34,01600315,5,5,4,4,5,5,5,1,4,3,2,3,3,2,4,3,5,4,5,2,2,3,3,4,5,3,3,4,3,4,4,4,3,4,3,2,1,1,2,2,4,3,3,2,4,3,5,3,2,2,3,2,5,2,2,1,3,3,2,3,3,3,3,3,3,3,2,3,2,3
2020-03-11T11:19:0,R_8jrN0e5m6DHLgKR,EN,3,4,34,01600315,4,4,5,3,5,4,4,1,4,4,4,4,1,3,1,1,4,1,4,4,2,2,4,4,4,5,3,5,4,4,4,4,4,4,4,1,1,2,3,4,4,2,3,3,4,4,4,3,4,3,4,4,5,2,2,2,2,3,1,1,4,4,4,1,4,4,1,1,2,2
2020-03-11T11:28:0,R_1fdv5LnxpBlAsZ8,EN,3,4,34,01600315,5,5,5,4,4,5,4,1,5,4,5,4,3,4,4,3,3,2,4,2,4,3,4,4,2,4,2,5,4,4,5,4,5,4,5,3,3,4,3,4,3,1,2,3,5,5,3,3,4,5,5,5,4,4,3,2,4,5,4,3,3,2,3,2,2,3,1,1,2,2
2020-03-11T12:35:0,R_1Iz1jpSgfV9Luf6,EN,3,4,34,01600315,5,5,5,5,5,4,5,1,4,3,4,4,2,5,4,5,4,5,5,4,3,4,4,4,4,4,NA,4,3,4,4,4,4,4,4,5,5,5,5,5,4,4,3,4,5,3,5,3,2,2,3,4,5,3,2,4,3,5,2,2,5,4,4,,3,4,1,4,3,3
