RecordedDate,ResponseId,UserLanguage,District,school,dist & school concat,DESE ID,t-prep-q1,t-prep-q2,t-prep-q3,t-pcom-q1,t-pcom-q2,t-pcom-q3,t-pcom-q4,t-pcom-q5,t-ieff-q1,t-ieff-q2,t-ieff-q3,t-ieff-q4,t-qupd-q1,t-qupd-q2,t-qupd-q3,t-qupd-q4,t-coll-q1,t-coll-q2,t-coll-q3,t-prtr-q1,t-prtr-q2,t-prtr-q3,t-inle-q1,t-inle-q2,t-inle-q3,t-pvic-q1,t-pvic-q2,t-pvic-q3,t-psup-q1,t-psup-q2,t-psup-q3,t-psup-q4,t-acch-q1,t-acch-q2,t-acch-q3,t-reso-q1,t-reso-q2,t-reso-q3,t-reso-q4,t-reso-q5,t-sust-q1,t-sust-q2,t-sust-q3,t-sust-q4,t-curv-q1,t-curv-q2,t-curv-q3,t-curv-q4,t-cure-q1,t-cure-q2,t-cure-q3,t-cure-q4,t-peng-q1,t-peng-q2,t-peng-q3,t-peng-q4,t-ceng-q1,t-ceng-q2,t-ceng-q3,t-ceng-q4,t-sach-q1,t-sach-q2,t-sach-q3,t-psol-q1,t-psol-q2,t-psol-q3,t-expa-q2,t-expa-q3,t-phya-q2,t-phya-q3
2020-03-11T10:58:0,R_0jqJTHxqWmVtiIp,EN,3,4,34,01600315,5,5,4,5,5,4,3,2,4,5,5,3,3,3,2,3,3,2,4,5,5,5,4,4,5,4,4,5,4,4,4,5,3,3,2,2,4,2,2,3,,2,4,1,4,4,3,2,2,1,3,2,2,2,2,1,3,3,2,1,4,4,1,3,3,3,4,4,3,3
2020-03-11T11:4:0,R_3LXzxyLOMy26LRP,EN,3,4,34,01600315,5,5,5,3,3,4,3,1,4,4,4,4,2,2,2,2,4,3,2,4,4,4,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,4,3,3,3,2,3,3,4,3,3,4,1,1,1,2,3,2,2,1,4,4,2,3,3,3,3,3,3,4,1,1,2,2
2020-03-11T12:18:0,R_278z8estsOlyoBY,EN,3,4,34,01600315,5,5,5,5,4,5,4,2,5,5,5,5,3,3,4,3,5,4,5,3,4,4,4,4,5,3,3,4,4,4,4,3,5,4,5,3,5,4,3,3,3,3,3,3,4,4,4,5,3,3,4,4,5,3,3,3,4,4,3,4,4,4,3,4,4,4,4,4,2,3
2020-03-11T12:8:0,R_SDiumzHkVg5qty1,EN,3,4,34,01600315,5,5,5,4,5,4,3,2,5,4,4,5,1,3,3,2,4,4,4,1,2,4,4,4,5,3,3,4,4,4,4,4,3,4,1,3,2,3,3,2,2,1,2,2,4,4,4,4,3,2,5,4,4,3,3,2,4,4,3,4,4,3,3,1,2,1,4,4,3,3
2020-03-11T12:10:0,R_3jZZF2M7IS7tuHW,EN,3,4,34,01600315,3,5,5,5,5,5,4,3,5,4,5,5,4,4,3,5,4,3,5,3,4,4,3,3,5,4,4,4,4,4,4,4,3,4,2,3,3,3,2,4,3,2,2,2,4,4,5,4,3,2,4,3,5,3,3,3,3,3,3,3,4,4,4,3,3,4,2,2,3,3
2020-03-11T11:6:0,R_2ceIcwZmdwYIRhJ,EN,3,4,34,01600315,5,4,5,5,4,4,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,5,4,4,4,4,4,4,4,5,4,4,3,3,3,3,2,4,3,4,4,4,4,4,4,3,2,3,3,5,3,2,1,5,4,3,4,4,4,4,3,4,3,4,4,3,3
2020-03-11T11:8:0,R_1pnefHJKYyguyOG,EN,3,4,34,01600315,5,5,5,5,4,5,5,3,5,5,5,5,2,3,3,4,3,2,3,4,5,5,5,5,5,4,4,5,5,5,5,5,5,4,3,5,5,3,2,2,5,3,3,4,5,5,5,4,3,3,4,4,3,3,2,3,4,4,3,2,4,4,4,3,4,4,2,2,3,4
2020-03-11T11:7:0,R_vCF5UpfJ15VIdRn,EN,3,4,34,01600315,5,5,5,4,2,2,2,1,4,3,4,4,2,1,2,1,2,3,2,1,1,2,2,2,3,4,3,4,4,3,4,4,2,4,2,2,3,3,3,5,2,2,4,3,4,3,4,3,2,2,3,3,4,3,2,2,3,3,2,3,4,3,3,3,3,3,1,1,2,2
2020-03-11T12:18:0,R_3vCZyH0GwXwOchj,EN,3,4,34,01600315,5,5,5,4,4,5,4,3,4,4,4,4,3,3,3,3,5,5,5,4,3,5,4,4,5,3,3,4,4,5,5,5,5,5,4,3,3,2,2,3,4,3,3,3,4,5,5,5,3,2,2,2,5,3,3,4,5,5,4,5,4,4,4,3,3,4,3,3,3,3
2020-03-11T12:10:0,R_2woS2lLOsPgkKg6,EN,3,4,34,01600315,5,5,5,4,4,4,3,1,5,5,5,5,2,3,3,4,5,3,3,2,2,3,4,4,3,4,4,5,5,5,5,5,5,5,4,3,4,3,3,2,5,2,3,3,5,4,3,4,4,4,4,5,3,3,2,1,4,4,2,3,4,2,2,3,3,3,2,3,2,3
2020-03-11T12:27:0,R_diYxyeK7llMTaZr,EN,3,4,34,01600315,5,5,5,3,4,3,3,1,5,5,5,5,3,3,3,3,3,3,4,4,3,5,5,5,5,3,3,4,5,4,4,5,5,3,5,1,1,1,2,5,3,3,3,3,5,3,4,3,2,2,4,4,5,3,3,2,3,4,3,3,4,3,3,1,3,3,2,2,2,2
2020-03-11T16:46:0,R_2EAygl083qY7HGx,EN,3,4,34,01600315,5,5,5,5,4,5,1,3,5,5,5,5,1,3,4,2,4,,5,,,,4,,,4,4,5,5,5,5,5,5,5,4,3,3,2,3,5,,3,3,1,4,4,4,2,4,4,4,5,4,4,,1,,,,,5,4,4,,,,1,1,3,
2020-03-11T11:7:0,R_ZE7Bac6D1mMTQT7,EN,3,4,34,01600315,5,5,5,5,5,1,4,1,5,5,5,5,1,1,1,1,3,3,3,2,1,3,2,4,1,3,4,4,4,5,5,4,4,3,1,3,3,1,4,3,3,1,3,4,4,4,5,5,4,3,3,4,4,4,1,1,4,3,1,1,4,3,3,4,4,4,2,2,2,2
2020-03-11T12:13:0,R_UEEMRB60JBQbQl3,EN,3,4,34,01600315,5,4,5,5,5,5,4,2,4,5,5,4,2,2,4,2,4,4,4,4,4,5,5,5,5,3,3,4,4,5,5,5,4,4,4,3,3,3,3,4,5,3,4,2,5,5,5,5,2,2,2,3,4,2,2,1,4,4,3,4,4,2,2,4,4,4,4,4,2,2
2020-03-11T12:17:0,R_1dfOTuyzDQzLrVT,EN,3,4,34,01600315,5,4,5,4,4,5,3,3,4,4,5,4,3,2,3,2,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,3,3,2,2,3,3,3,3,3,3,4,3,4,3,4,4,4,4,4,2,2,3,3,4,2,3,3,3,3,2,3,4,4,4,2,2
2020-03-11T11:1:0,R_1otjHe55A5kndSV,EN,3,4,34,01600315,4,4,4,5,4,5,4,1,3,3,4,4,3,3,3,2,4,1,1,2,1,3,2,3,4,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,3,3,4,4,4,3,3,3,4,2,2,2,3,2,2,2,2,3,3,3,4,4,4,4,4,3,3
2020-03-11T12:25:0,R_23UEtRFcdAfbTDy,EN,3,4,34,01600315,5,5,5,5,5,5,3,3,4,4,4,4,3,2,3,2,4,3,4,3,1,3,4,5,4,5,4,4,4,4,4,4,5,3,5,3,3,4,4,1,3,1,3,3,5,5,5,2,4,4,4,4,3,3,2,1,4,4,3,4,4,4,4,3,4,4,1,1,2,2
2020-03-11T12:15:0,R_27cZ6AmyPRSdlMT,EN,3,4,34,01600315,5,5,5,5,5,5,4,3,5,5,5,3,4,4,5,5,5,5,5,2,3,4,4,3,5,4,4,4,5,4,5,5,3,5,3,4,3,4,2,3,3,2,2,3,5,5,5,4,3,2,3,4,4,3,3,2,4,4,2,3,3,4,3,4,4,4,3,3,1,1
2020-03-11T12:21:0,R_2xWDmO4IVUuvCJ0,EN,3,4,34,01600315,5,5,5,4,4,4,4,2,5,5,5,5,1,1,3,1,4,3,5,3,2,4,4,5,5,3,3,4,5,5,4,4,4,4,4,3,4,3,2,4,3,2,1,1,5,4,4,4,3,3,3,4,5,2,2,2,4,4,4,4,4,4,3,1,4,5,1,1,2,3
2020-03-11T12:11:0,R_3NX3Co2P6gMCXI0,EN,3,4,34,01600315,5,5,5,4,4,4,4,,4,4,4,4,4,3,4,3,3,3,4,2,2,1,4,4,4,3,3,4,4,4,4,4,4,4,3,3,2,2,3,2,3,1,3,2,5,5,4,4,2,2,4,4,5,3,3,2,4,3,2,2,4,3,3,3,3,4,1,4,2,2
2020-03-11T12:20:0,R_2pVr1krsoCJHXoh,EN,3,4,34,01600315,5,4,5,2,3,5,3,1,5,5,5,4,3,2,3,3,3,1,3,3,4,4,4,5,4,3,4,4,5,5,4,4,2,4,1,2,2,2,4,3,4,2,3,2,4,3,4,3,4,4,3,4,5,2,2,1,3,2,2,3,4,3,4,3,3,3,2,2,2,3
2020-03-11T12:32:0,R_3NxpRtZ3wnuYS8l,EN,3,4,34,01600315,4,4,4,5,4,5,2,1,5,5,5,5,3,3,2,3,4,5,5,4,4,4,5,4,5,3,4,3,4,4,4,5,3,3,3,1,2,2,4,5,4,3,3,2,5,4,3,4,1,2,2,2,3,3,3,2,2,2,2,3,4,3,3,1,3,2,2,3,3,3
