StartDate,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,language,district,t-prep-q1,t-prep-q2,t-prep-q3,t-pcom-q1,t-pcom-q2,t-pcom-q3,t-pcom-q4,t-pcom-q5,t-qupd-q3,t-qupd-q2,t-qupd-q1,t-qupd-q4,t-coll-q1,t-coll-q2,t-coll-q3,t-prtr-q1,t-prtr-q2,t-prtr-q3,t-inle-q1,t-inle-q2,t-inle-q3,t-pvic-q1,t-pvic-q2,t-pvic-q3,t-psup-q1,t-psup-q2,t-psup-q3,t-psup-q4,t-acch-q1,t-acch-q2,t-acch-q3,t-reso-q1,t-reso-q2,t-reso-q3,t-reso-q4,t-reso-q5,t-sust-q1,t-sust-q2,t-sust-q3,t-sust-q4,t-curv-q1,t-curv-q2,t-curv-q3,t-curv-q4,t-cure-q1,t-cure-q2,t-cure-q3,t-cure-q4,t-peng-q1,t-peng-q2,t-peng-q3,t-peng-q4,t-ceng-q1,t-ceng-q2,t-ceng-q3,t-ceng-q4,t-sach-q1,t-sach-q2,t-sach-q3,t-psol-q1,t-psol-q2,t-psol-q3,t-expa-q2,t-expa-q3,t-phya-q2,t-phya-q3,X.1,Q131,Q132,,Q83_1,Q84_1,,DESE ID
3/12/18 11:44,100,551,TRUE,2018-03-12T11:54:0,R_3fDJnZ2jgm2kOvJ,EN,Boston,5,5,4,5,5,5,4,3,3,4,4,4,4,4,4,4,4,4,5,5,4,4,5,4,4,5,5,4,4,4,4,4,3,3,3,3,4,4,3,4,4,5,4,4,5,5,5,5,2,4,3,3,5,4,3,4,4,3,3,4,4,4,4,5,4,5,NA,4,4,,9,8,,350020
3/12/18 11:42,100,692,TRUE,2018-03-12T11:54:0,R_294l2gfnL1ePU2J,EN,Boston,5,5,4,2,3,2,2,3,3,3,2,2,2,,3,2,2,2,3,3,2,3,NA,3,3,3,3,3,3,2,3,3,2,2,2,2,2,2,2,3,3,,,,2,2,3,3,4,,1,1,3,3,1,2,4,,,3,2,2,2,3,4,5,NA,3,3,,8,5,,350183
3/12/18 11:40,100,864,TRUE,2018-03-12T11:54:0,R_2bId1Drl5T9BYs1,EN,Boston,5,5,5,3,3,5,3,4,3,4,3,3,5,5,5,5,5,4,4,4,3,3,3,3,3,3,3,2,3,3,2,3,2,2,1,3,3,1,1,1,4,4,4,4,3,3,4,4,3,2,2,1,2,4,3,3,5,2,2,4,4,4,1,1,2,4,NA,3,3,,6,3,,350537
3/12/18 11:43,100,682,TRUE,2018-03-12T11:54:0,R_2TyCwanAgdhxwrA,EN,Boston,5,5,5,4,4,5,4,4,3,2,2,4,4,3,3,5,5,5,4,4,4,3,3,4,4,4,4,4,4,3,4,3,1,2,3,4,5,4,4,3,5,5,4,4,4,4,4,5,4,2,2,2,5,4,3,3,4,3,3,4,4,4,4,5,3,4,NA,4,4,,5,5,,350656
3/12/18 11:44,100,626,TRUE,2018-03-12T11:54:0,R_YaItQbfqOXIdWRH,EN,Boston,4,4,4,4,3,4,3,2,3,3,3,3,4,4,4,5,5,4,3,2,2,4,4,4,4,4,4,4,4,3,3,3,3,4,3,4,3,2,3,2,3,3,4,2,4,4,5,5,2,2,2,3,3,4,2,3,4,2,2,4,3,3,3,3,4,4,NA,3,3,,8,8,,350021
3/12/18 11:46,100,560,TRUE,2018-03-12T11:55:0,R_278yege9cbrex1W,EN,Boston,4,4,5,4,5,3,3,2,3,3,2,3,2,1,5,4,4,3,3,2,3,3,3,3,3,2,3,3,3,4,2,3,4,3,4,2,4,3,4,3,3,4,2,4,3,3,3,4,2,1,1,2,2,4,2,4,3,2,2,3,4,2,3,5,1,5,NA,3,3,,8,6,,441006
3/12/18 11:43,100,724,TRUE,2018-03-12T11:55:0,R_3gOwMtdYa5AIbIP,EN,Boston,5,5,5,3,3,4,1,1,4,3,3,4,3,2,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,3,3,2,3,3,1,4,3,2,3,2,4,4,4,2,4,4,4,5,2,4,5,5,1,1,1,2,4,2,2,2,3,3,1,2,3,3,NA,3,3,,8,4,,350122
3/12/18 11:42,100,809,TRUE,2018-03-12T11:55:0,R_28AiVAnMyQDMSN8,EN,Boston,4,4,4,3,2,2,1,2,2,1,1,1,3,2,3,1,2,2,2,2,2,2,3,3,2,3,3,2,2,2,3,3,2,2,3,1,2,2,2,3,3,1,2,2,4,4,3,4,4,4,4,2,3,3,2,3,3,3,3,4,3,3,3,4,4,5,NA,4,2,,8,6,,350020
3/12/18 11:40,100,976,TRUE,2018-03-12T11:56:0,R_12rqR2xT0IE9CNW,EN,Boston,4,3,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,3,4,4,4,3,2,2,4,3,4,3,4,4,4,4,4,4,3,4,4,5,4,4,4,3,4,4,3,4,4,3,3,4,4,4,4,4,3,4,NA,3,3,,8,6,,350020
3/12/18 11:47,100,557,TRUE,2018-03-12T11:56:0,R_3JaTceCX2vZpJsj,EN,Boston,4,4,5,3,2,5,2,2,3,3,2,2,4,3,4,4,5,4,3,3,3,3,3,4,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,1,5,2,3,3,4,5,5,5,2,1,2,1,4,4,3,3,4,3,3,3,3,3,3,5,3,4,NA,4,3,,3,4,,350013
