Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,District,school,Birth.Month,Birth.Day,Birth.Year,grade,s-emsa-q1,s-emsa-q2,s-emsa-q3,s-tint-q1,s-tint-q2,s-tint-q3,s-tint-q4,s-tint-q5,s-acpr-q1,s-acpr-q2,s-acpr-q3,s-acpr-q4,s-cure-q1,s-cure-q2,s-cure-q3,s-cure-q4,s-sten-q1,s-sten-q2,s-sten-q3,s-sper-q1,s-sper-q2,s-sper-q3,s-sper-q4,s-civp-q1,s-civp-q2,s-civp-q3,s-civp-q4,s-grmi-q1,s-grmi-q2,s-grmi-q3,s-grmi-q4,s-appa-q1,s-appa-q2,s-appa-q3,s-peff-q1,s-peff-q2,s-peff-q3,s-peff-q4,s-peff-q5,s-peff-q6,s-sbel-q1,s-sbel-q2,s-sbel-q3,s-sbel-q4,s-sbel-q5,s-phys-q1,s-phys-q2,s-phys-q3,s-phys-q4,s-vale-q1,s-vale-q2,s-vale-q3,s-vale-q4,s-acst-q1,s-acst-q2,s-acst-q3,s-sust-q1,s-sust-q2,s-grit-q1,s-grit-q2,s-grit-q3,s-grit-q4,s-expa-q1,s-poaf-q1,s-poaf-q2,s-poaf-q3,s-poaf-q4,Q90,Q90_3_TEXT,Q91,Q91_7_TEXT,Q_Language,MathTeacher,ScienceTeacher,SocialTeacher,EnglishTeacher,,ALL NA?
1,2020-02-06T7:28:0,R_6Ps1dhH4EPdGbcZ,anonymous,EN,4,10,2,26,104,11,3,3,4,4,4,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,NA,NA,NA,3,4,4,3,4,4,4,4,4,4,4,4,5,4,4,5,4,3,4,2,1,1,5,5,4,5,3,4,2,3,4,3,4,2,,4,,EN,,,,English teacher,,
1,2020-02-06T7:28:0,R_XyXYqsveoWN0UUN,anonymous,EN,4,10,5,8,104,10,4,4,4,3,1,1,1,4,2,1,1,1,1,2,1,1,3,3,1,4,3,4,3,4,4,4,4,5,5,4,4,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,3,3,3,1,4,1,1,3,1,,4,,EN,,Science teacher,,,,
1,2020-02-06T7:28:0,R_BPSSCjsmgdLwB6p,anonymous,EN,4,10,11,27,105,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,5,3,1,2,3,NA,NA,NA,NA,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,4,4,2,4,4,3,2,4,2,3,2,2,2,4,5,5,2,2,5,1,1,2,1,1,4,5,2,5,1,1,4,2,3,1,,5,,EN,,,,English teacher,,
1,2020-02-06T7:28:0,R_1g5Pf8R5xj9shhb,anonymous,EN,4,10,2,22,106,9,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,3,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,3,2,1,1,1,4,4,2,2,2,2,3,3,4,5,2,2,3,4,1,2,4,4,3,5,3,2,1,3,2,3,4,2,,3,,EN,Math teacher,,,,,
1,2020-01-24T12:44:0,R_1NqBnBXGIuldYTv,anonymous,EN,4,3,12,29,106,8,2,1,3,4,3,4,4,5,5,3,5,4,4,3,2,2,3,3,3,3,2,3,4,4,4,3,3,4,5,3,4,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,3,4,3,3,3,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,,5,,EN,,,,English teacher,,
1,2020-02-06T7:28:0,R_2EbgKFYiLFKhm4s,anonymous,EN,4,10,3,29,103,12,3,4,4,4,4,3,3,3,4,4,3,4,2,3,2,3,2,2,5,3,4,3,3,4,3,3,3,3,3,2,3,4,4,4,3,3,4,3,2,3,2,3,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,"4,5",,EN,Math teacher,,,,,
1,2020-02-06T7:28:0,R_2VCJ4UrET3sdcy7,anonymous,EN,4,10,7,6,105,10,3,3,4,4,4,3,3,3,4,4,3,4,3,3,3,3,4,4,1,3,3,4,3,3,3,3,3,4,5,3,4,4,2,2,5,4,4,3,4,3,3,4,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,,4,,EN,,Science teacher,,,,
1,2020-02-06T7:28:0,R_Dvis5AQmYwm6fND,anonymous,EN,4,10,7,7,104,11,3,4,4,3,2,4,3,4,4,4,3,4,3,4,3,4,1,1,1,4,3,3,3,3,4,3,4,2,3,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,3,4,2,4,1,1,1,1,1,3,No,6,,EN,,Science teacher,,,,
1,2020-02-06T7:28:0,R_1pQ1H4DZCzPRaAz,anonymous,EN,4,10,7,10,105,10,4,5,4,3,3,4,3,3,4,4,2,3,2,2,2,2,2,3,3,1,4,2,2,3,4,4,3,3,3,3,3,2,1,2,4,2,4,3,4,4,2,3,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,,6,,EN,,Science teacher,,,,
1,2020-02-06T7:28:0,R_25SkUrIU0pEUHbI,anonymous,ES,4,10,1,29,103,12,2,3,4,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,3,4,4,3,3,4,5,4,3,5,4,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,5,5,4,4,4,5,4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,,4,,ES,,maestro de ciencias,,,,
