Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,Admin Grade 9,Grade 10,Grade 11,Grade 12,SP,Total,% of All Students,# of All Students
2.51685393258427,2.52,a-cppm-i2,2023-24,Classical High,01630505,      31,      91,     123,      71,       0,     316,  16.8,"   1,878"
0.7191011235955056,1,a-cppm-i2,2023-24,Clinton Senior High,00640505,       0,       3,      11,      13,       0,      27,   4.8,     557
1.9925093632958804,1.99,a-cppm-i2,2023-24,Conservatory of the Arts,02810475,       0,       0,       0,      22,       0,      22,  13.3,     165
1.707865168539326,1.71,a-cppm-i2,2023-24,Danvers High,00710505,       0,       0,      17,      73,       1,      91,  11.4,     798
3.715355805243446,3.72,a-cppm-i2,2023-24,David Prouty High,07670505,       3,      38,      26,      15,       0,      82,  24.8,     331
10.846441947565545,5,a-cppm-i2,2023-24,Dearborn 6-12 STEM Academy,00350074,      21,      78,      83,      73,       0,     255,  72.4,     352
0.6741573033707865,1,a-cppm-i2,2023-24,Dennis-Yarmouth Regional High,06450505,      11,       6,      14,       0,       0,      31,   4.5,     688
5.333333333333334,5,a-cppm-i2,2023-24,Dighton-Rehoboth Regional High School,06500505,      79,      51,      43,      53,       0,     226,  35.6,     635
14.981273408239701,5,a-cppm-i2,2023-24,Diman Regional Vocational Technical High,08210605,     379,     363,     364,     336,       1,"   1,443", 100.0,"   1,443"
5.617977528089888,5,a-cppm-i2,2023-24,Doherty Memorial High,03480512,      93,     134,     139,     158,       0,     524,  37.5,"   1,398"
0.1048689138576779,1,a-cppm-i2,2023-24,Douglas High School,00770505, , , , , ,       2,   0.7,     303
3.640449438202247,3.64,a-cppm-i2,2023-24,Drury High,02090505,      11,      16,      30,      18,       0,      75,  24.3,     309
5.408239700374533,5,a-cppm-i2,2023-24,East Boston High School,00350530,       0,       0,     187,     199,       0,     386,  36.1,"   1,070"
1.153558052434457,1.15,a-cppm-i2,2023-24,East Longmeadow High,00870505,      24,      20,       5,      10,       0,      59,   7.7,     771
10.367041198501873,5,a-cppm-i2,2023-24,Easthampton High,00860505,      48,      67,      70,      73,       0,     258,  69.2,     373
9.902621722846442,5,a-cppm-i2,2023-24,Edward M. Kennedy Academy for Health Careers: A Horace Mann Charter Public School,04520505,     103,      93,      24,      28,       0,     248,  66.1,     375
8.464419475655431,5,a-cppm-i2,2023-24,English High School,00350535,     131,      73,      77,      55,       0,     336,  56.5,     595
14.981273408239701,5,a-cppm-i2,2023-24,Essex North Shore Agricultural and Technical School,08170505,     476,     450,     429,     390,       0,"   1,745", 100.0,"   1,745"
8.359550561797752,5,a-cppm-i2,2023-24,Everett High,00930505,     513,     121,     381,     261,       1,"   1,277",  55.8,"   2,289"
6.112359550561798,5,a-cppm-i2,2023-24,Excel High School,00350522,      53,      71,      33,       1,       0,     158,  40.8,     387
7.610486891385768,5,a-cppm-i2,2023-24,Falmouth High,00960505,      87,     107,     106,      69,       0,     369,  50.8,     727
0.2097378277153558,1,a-cppm-i2,2023-24,Fecteau-Leary Junior/Senior High School,01630525, , , , , ,       1,   1.4,      72
3.700374531835206,3.7,a-cppm-i2,2023-24,Fenway High School,00350540,       0,       0,      55,      38,       0,      93,  24.7,     376
9.183520599250937,5,a-cppm-i2,2023-24,Fitchburg High,00970505,      67,     246,     193,     217,       0,     723,  61.3,"   1,180"
2.9962546816479403,3.0,a-cppm-i2,2023-24,Framingham High School,01000515,      55,      72,     179,     204,       0,     510,  20.0,"   2,545"
14.981273408239701,5,a-cppm-i2,2023-24,Franklin County Technical,08180605,     161,     155,     160,     145,       0,     621, 100.0,     621
0.2846441947565543,1,a-cppm-i2,2023-24,Frontier Regional,06700505,       0,       1,       6,       0,       0,       7,   1.9,     373
0.9438202247191011,1,a-cppm-i2,2023-24,Full Circle High School,02740510, , , , , ,       4,   6.3,      64
10.02247191011236,5,a-cppm-i2,2023-24,Gardner Academy for Learning and Technology,01030515,       6,      13,      25,      41,       0,      85,  66.9,     127
3.295880149812734,3.3,a-cppm-i2,2023-24,Gardner High,01030505,       0,      20,      65,      56,       0,     141,  22.0,     641
4.719101123595506,4.72,a-cppm-i2,2023-24,Gateway Regional High,06720505,      24,      12,       9,       6,       0,      51,  31.5,     162
4.4344569288389515,4.43,a-cppm-i2,2023-24,Gloucester High,01070505,      60,      74,      37,      68,       0,     239,  29.6,     807
14.981273408239701,5,a-cppm-i2,2023-24,Gr Lawrence Regional Vocational Technical,08230605,     485,     449,     433,     407,       0,"   1,774", 100.0,"   1,774"
14.981273408239701,5,a-cppm-i2,2023-24,Gr Lowell Regional Vocational Technical,08280605,     581,     576,     577,     559,      21,"   2,314", 100.0,"   2,314"
14.981273408239701,5,a-cppm-i2,2023-24,Gr New Bedford Vocational Technical,08250605,     571,     551,     528,     497,       0,"   2,147", 100.0,"   2,147"
4.01498127340824,4.01,a-cppm-i2,2023-24,Haverhill High,01280505,     132,      87,     167,     148,       0,     534,  26.8,"   1,991"
8.01498127340824,5,a-cppm-i2,2023-24,High School Of Commerce,02810510,     139,     129,     162,     137,       0,     567,  53.5,"   1,060"
5.1235955056179785,5,a-cppm-i2,2023-24,Holyoke High,01370505,     111,     161,     130,     134,       0,     536,  34.2,"   1,567"
1.4981273408239701,1.5,a-cppm-i2,2023-24,Hopedale Jr Sr High,01380505,       7,       6,       9,       7,       0,      29,  10.0,     289
6.531835205992509,5,a-cppm-i2,2023-24,Hopkins Academy,01170505,      18,      22,      11,      10,       0,      61,  43.6,     140
10.831460674157304,5,a-cppm-i2,2023-24,Joseph P Keefe Technical High School,08290605,       0,     224,     207,     199,       0,     630,  72.3,     871
5.51310861423221,5,a-cppm-i2,2023-24,Lawrence High School,01490515,       0,     411,     453,     329,       0,"   1,193",  36.8,"   3,246"
2.4569288389513106,2.46,a-cppm-i2,2023-24,Leicester High,01510505,      31,      34,       0,       0,       0,      65,  16.4,     397
0.7640449438202247,1,a-cppm-i2,2023-24,Lenox Memorial High,01520505,       0,       6,       3,       4,       0,      13,   5.1,     255
1.9925093632958804,1.99,a-cppm-i2,2023-24,Leominster High School,01530505,       7,      15,      45,      76,       0,     143,  13.3,"   1,073"
