Raw likert calculation,Likert Score,Admin Data Item,Academic Year,Teachers of color (%),School Name,DESE ID,African American (%),Asian (%),Hispanic (%),White (%),Native American (%),Native Hawaiian Pacific Islander (%),Multi-Race Non-Hispanic (%),Females (%),Males (%),FTE Count
26.0,5,"",2021-22,26.0,Amherst - Crocker Farm Elementary,00080009,   3.7,   6.2,  16.1,  74.0,   0.0,   0.0,   0.0,  87.4,  12.6,         86.9
30.9,5,"",2021-22,30.9,Amherst - Fort River Elementary,00080020,   3.7,   6.3,  19.7,  69.1,   0.0,   0.0,   1.2,  81.4,  18.6,         81.2
35.6,5,"",2021-22,35.6,Amherst - Wildwood Elementary,00080050,  16.8,   4.1,  11.0,  64.4,   0.0,   0.0,   3.7,  81.3,  18.7,         81.9
27.599999999999998,5,"",2021-22,27.599999999999998,Amherst-Pelham - Amherst Regional High,06050505,  14.2,   3.2,   8.4,  72.4,   0.0,   0.0,   1.8,  63.9,  36.1,        155.4
35.9,5,"",2021-22,35.9,Amherst-Pelham - Amherst Regional Middle School,06050405,  13.5,   1.6,  19.2,  64.1,   0.0,   0.0,   1.6,  66.4,  33.6,         74.1
11.100000000000001,5,"",2021-22,11.100000000000001,Andover - Andover High,00090505,   1.0,   3.9,   5.7,  89.0,   0.0,   0.5,   0.0,  70.6,  29.4,        204.6
5.8999999999999995,5,"",2021-22,5.8999999999999995,Andover - Andover West Middle,00090310,   1.2,   1.2,   2.3,  94.2,   0.0,   0.0,   1.2,  81.5,  18.5,         85.6
7.6,5,"",2021-22,7.6,Andover - Bancroft Elementary,00090003,   0.0,   5.4,   1.1,  92.5,   0.0,   0.0,   1.1,  92.6,   7.4,         93.1
10.4,5,"",2021-22,10.4,Andover - Doherty Middle,00090305,   0.0,   3.9,   5.2,  89.6,   1.3,   0.0,   0.0,  79.5,  20.5,         76.7
3.6,3.6,"",2021-22,3.6,Andover - Henry C Sanborn Elementary,00090010,   0.0,   1.8,   0.0,  96.3,   0.0,   0.0,   1.8,  92.6,   7.4,         54.2
8.7,5,"",2021-22,8.7,Andover - High Plain Elementary,00090004,   0.0,   4.5,   4.2,  91.3,   0.0,   0.0,   0.0,  92.8,   7.2,         90.1
18.9,5,"",2021-22,18.9,Andover - Shawsheen School,00090005,   0.0,  16.4,   2.5,  81.2,   0.0,   0.0,   0.0,  95.4,   4.6,         40.6
2.7,2.7,"",2021-22,2.7,Andover - South Elementary,00090020,   0.0,   2.7,   0.0,  97.3,   0.0,   0.0,   0.0,  94.8,   5.2,         69.7
5.9,5,"",2021-22,5.9,Andover - West Elementary,00090025,   0.9,   3.3,   0.8,  94.0,   0.0,   0.0,   0.9,  91.2,   8.8,        108.0
4.9,4.9,"",2021-22,4.9,Andover - Wood Hill Middle School,00090350,   0.0,   1.6,   3.3,  95.1,   0.0,   0.0,   0.0,  76.8,  23.2,         61.3
20.200000000000003,5,"",2021-22,20.200000000000003,Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,   6.9,   0.3,   8.6,  79.9,   0.0,   0.0,   4.4,  67.7,  32.3,         68.5
7.4,5,"",2021-22,7.4,Arlington - Arlington High,00100505,   1.8,   1.8,   2.9,  92.6,   0.0,   0.0,   0.9,  59.8,  40.2,        176.0
12.3,5,"",2021-22,12.3,Arlington - Brackett,00100010,   3.1,   3.1,   4.6,  87.6,   0.0,   0.0,   1.5,  89.2,  10.8,         64.7
11.7,5,"",2021-22,11.7,Arlington - Cyrus E Dallin,00100025,   3.3,   6.7,   0.0,  88.3,   0.0,   0.0,   1.7,  85.5,  12.9,         59.9
4.5,4.5,"",2021-22,4.5,Arlington - Gibbs School,00100305,   1.7,   1.3,   0.0,  95.5,   0.0,   0.0,   1.5,  68.4,  31.6,         66.4
7.1000000000000005,5,"",2021-22,7.1000000000000005,Arlington - Hardy,00100030,   2.0,   3.4,   1.7,  93.0,   0.0,   0.0,   0.0,  96.4,   3.6,         59.1
7.9,5,"",2021-22,7.9,Arlington - John A Bishop,00100005,   4.1,   1.9,   0.0,  92.1,   0.0,   0.0,   1.9,  92.4,   7.6,         52.6
5.1,5,"",2021-22,5.1,Arlington - M Norcross Stratton,00100055,   0.0,   2.5,   1.3,  94.9,   1.3,   0.0,   0.0,  92.3,   7.7,         78.5
9.7,5,"",2021-22,9.7,Arlington - Menotomy Preschool,00100038,   0.0,   3.2,   0.0,  90.3,   0.0,   0.0,   6.5, 100.0,   0.0,         30.8
11.600000000000001,5,"",2021-22,11.600000000000001,Arlington - Ottoson Middle,00100410,   1.8,   6.5,   2.5,  88.4,   0.8,   0.0,   0.0,  75.3,  24.7,        118.8
12.3,5,"",2021-22,12.3,Arlington - Peirce,00100045,   2.3,   2.0,   6.0,  87.6,   0.0,   0.0,   2.0,  94.6,   5.4,         49.8
5.3,5,"",2021-22,5.3,Arlington - Thompson,00100050,   1.4,   3.9,   0.0,  94.7,   0.0,   0.0,   0.0,  84.1,  15.9,         71.2
4.1,4.1,"",2021-22,4.1,Ashburnham-Westminster - Briggs Elementary,06100025,   1.3,   0.0,   0.3,  96.0,   0.0,   0.0,   2.5,  83.3,  16.7,         79.2
0.8,1,"",2021-22,0.8,Ashburnham-Westminster - Meetinghouse School,06100010,   0.0,   0.0,   0.8,  99.2,   0.0,   0.0,   0.0,  97.5,   2.5,         25.9
4.2,4.2,"",2021-22,4.2,Ashburnham-Westminster - Oakmont Regional High School,06100505,   3.9,   0.0,   0.3,  95.8,   0.0,   0.0,   0.0,  56.2,  43.8,         76.0
3.9000000000000004,3.9,"",2021-22,3.9000000000000004,Ashburnham-Westminster - Overlook Middle School,06100305,   1.8,   0.0,   2.1,  96.1,   0.0,   0.0,   0.0,  69.8,  30.2,         56.3
2.6,2.6,"",2021-22,2.6,Ashburnham-Westminster - Westminster Elementary,06100005,   0.0,   0.0,   2.6,  97.4,   0.0,   0.0,   0.0,  92.7,   7.3,         45.8
7.2,5,"",2021-22,7.2,Ashland - Ashland High,00140505,   4.8,   0.0,   1.2,  92.8,   0.0,   0.0,   1.2,  62.4,  37.6,         83.2
4.8,4.8,"",2021-22,4.8,Ashland - Ashland Middle,00140405,   0.0,   2.4,   1.2,  95.3,   0.0,   0.0,   1.2,  72.2,  27.8,         84.2
2.4,2.4,"",2021-22,2.4,Ashland - David Mindess,00140015,   1.2,   0.0,   1.2,  97.6,   0.0,   0.0,   0.0,  91.2,   8.8,         84.2
5.0,5.0,"",2021-22,5.0,Ashland - Henry E Warren Elementary,00140010,   0.0,   3.0,   2.0,  95.0,   0.0,   0.0,   0.0,  96.3,   3.7,        100.7
7.0,5,"",2021-22,7.0,Ashland - William Pittaway Elementary,00140005,   0.0,   3.5,   3.5,  92.9,   0.0,   0.0,   0.0,  95.4,   4.6,         28.4
3.8000000000000003,3.8,"",2021-22,3.8000000000000003,Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,08010605,   0.6,   0.0,   3.2,  96.2,   0.0,   0.0,   0.0,  51.3,  48.7,        157.0
1.3,1.3,"",2021-22,1.3,Athol-Royalston - Athol Community Elementary School,06150020,   1.3,   0.0,   0.0,  98.7,   0.0,   0.0,   0.0,  92.5,   7.5,         79.8
0.0,1,"",2021-22,0.0,Athol-Royalston - Athol High,06150505,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0,  65.7,  34.3,         47.8
0.0,1,"",2021-22,0.0,Athol-Royalston - Athol-Royalston Middle School,06150305,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0,  68.9,  31.1,         51.5
0.0,1,"",2021-22,0.0,Athol-Royalston - Royalston Community School,06150050,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0,  93.8,   6.2,         16.2
4.2,4.2,"",2021-22,4.2,Atlantis Charter (District) - Atlantis Charter School,04910550,   1.6,   1.1,   0.5,  95.8,   0.5,   0.0,   0.5,  81.9,  18.1,        189.5
3.8,3.8,"",2021-22,3.8,Attleboro - A. Irvin Studley Elementary School,00160001,   0.0,   0.0,   3.8,  96.2,   0.0,   0.0,   0.0,  98.1,   1.9,         52.4
49.5,5,"",2021-22,49.5,Attleboro - Attleboro Community Academy,00160515,  40.0,   0.0,   9.5,  50.5,   0.0,   0.0,   0.0,  50.5,  49.5,          5.3
8.5,5,"",2021-22,8.5,Attleboro - Attleboro High,00160505,   2.0,   1.0,   5.0,  91.5,   0.0,   0.0,   0.5,  70.4,  29.6,        197.5
6.1,5,"",2021-22,6.1,Attleboro - Attleboro Virtual Academy,00160705,   0.0,   0.0,   6.1,  93.9,   0.0,   0.0,   0.0,  57.1,  42.9,          6.5
6.6000000000000005,5,"",2021-22,6.6000000000000005,Attleboro - Cyril K. Brennan Middle School,00160315,   0.0,   1.5,   4.4,  93.5,   0.0,   0.0,   0.7,  80.9,  19.1,         68.9
2.7,2.7,"",2021-22,2.7,Attleboro - Early Learning Center,00160008,   0.0,   0.0,   2.7,  97.3,   0.0,   0.0,   0.0, 100.0,   0.0,         32.8
9.700000000000001,5,"",2021-22,9.700000000000001,Attleboro - Hill-Roberts Elementary School,00160045,   0.9,   4.4,   4.4,  90.4,   0.0,   0.0,   0.0,  95.6,   4.4,         45.8
8.3,5,"",2021-22,8.3,Attleboro - Hyman Fine Elementary School,00160040,   0.0,   0.0,   8.3,  91.7,   0.0,   0.0,   0.0,  90.9,   9.1,         48.3
6.5,5,"",2021-22,6.5,Attleboro - Peter Thacher Elementary School,00160050,   1.3,   1.3,   2.6,  93.5,   0.0,   0.0,   1.3,  91.1,   8.9,         77.2
4.9,4.9,"",2021-22,4.9,Attleboro - Robert J. Coelho Middle School,00160305,   3.0,   0.0,   1.9,  95.1,   0.0,   0.0,   0.0,  77.8,  22.2,         53.3
7.0,5,"",2021-22,7.0,Attleboro - Thomas Willett Elementary School,00160035,   0.0,   2.3,   4.7,  93.0,   0.0,   0.0,   0.0,  95.3,   4.7,         42.7
4.8,4.8,"",2021-22,4.8,Attleboro - Wamsutta Middle School,00160320,   0.0,   0.0,   2.9,  95.2,   1.9,   0.0,   0.0,  76.5,  23.5,         52.5
4.699999999999999,4.7,"",2021-22,4.699999999999999,Auburn - Auburn Middle,00170305,   0.0,   1.9,   2.8,  95.3,   0.0,   0.0,   0.0,  74.0,  26.0,         70.9
6.700000000000001,5,"",2021-22,6.700000000000001,Auburn - Auburn Senior High,00170505,   1.7,   0.4,   3.7,  93.3,   0.0,   0.0,   0.9,  72.3,  27.7,        109.5
3.3,3.3,"",2021-22,3.3,Auburn - Bryn Mawr,00170010,   0.0,   0.0,   3.3,  96.7,   0.0,   0.0,   0.0, 100.0,   0.0,         45.4
8.5,5,"",2021-22,8.5,Auburn - Pakachoag School,00170025,   2.7,   1.8,   4.0,  91.5,   0.0,   0.0,   0.0, 100.0,   0.0,         37.3
5.5,5,"",2021-22,5.5,Auburn - Swanson Road Intermediate School,00170030,   0.0,   1.4,   4.1,  94.5,   0.0,   0.0,   0.0,  92.4,   7.6,         72.4
18.4,5,"",2021-22,18.4,Avon - Avon Middle High School,00180510,  10.2,   4.1,   4.1,  81.6,   0.0,   0.0,   0.0,  63.1,  36.9,         48.8
3.8,3.8,"",2021-22,3.8,Avon - Ralph D Butler,00180010,   3.8,   0.0,   0.0,  96.2,   0.0,   0.0,   0.0,  96.2,   3.8,         53.3
3.8,3.8,"",2021-22,3.8,Ayer Shirley School District - Ayer Shirley Regional High School,06160505,   1.9,   0.0,   1.9,  96.2,   0.0,   0.0,   0.0,  56.2,  43.8,         52.9
7.2,5,"",2021-22,7.2,Ayer Shirley School District - Ayer Shirley Regional Middle School,06160305,   1.8,   0.0,   3.6,  92.8,   0.0,   0.0,   1.8,  69.5,  30.5,         55.7
