Academic Year,School Name,DESE ID,FTE Count
2024-25,Framingham High School Day Academy,1000555,12
2024-25,Framingham High School Evening Academy,1000595,12
2025-26,Framingham High School Day Academy,1000555,12
2025-26,Framingham High School Evening Academy,1000595,12
